Date,Close/Last,Volume,Open,High,Low
03/22/2024,$64.77,10208060,$66.44,$67.25,$64.75
03/21/2024,$66.14,14022130,$65.30,$66.99,$65.05
03/20/2024,$65.05,12641430,$63.58,$65.36,$63.115
03/19/2024,$63.01,9089319,$63.77,$64.05,$62.80
03/18/2024,$64.23,14219880,$63.12,$64.76,$63.10
03/15/2024,$62.85,20039970,$62.60,$63.83,$62.43
03/14/2024,$63.00,19342010,$62.51,$64.20,$62.21
03/13/2024,$62.45,19983380,$59.98,$63.30,$59.81
03/12/2024,$60.03,13485070,$59.80,$60.475,$59.296
03/11/2024,$60.08,11172680,$59.00,$60.2197,$58.945
03/08/2024,$59.01,18283480,$58.72,$59.5603,$58.242
03/07/2024,$58.50,19447860,$58.46,$59.055,$57.95
03/06/2024,$58.12,17187420,$58.75,$58.92,$57.91
03/05/2024,$58.27,18056680,$59.51,$60.83,$57.87
03/04/2024,$59.98,17125210,$60.41,$60.60,$58.86
03/01/2024,$60.54,17590440,$60.53,$61.64,$60.21
02/29/2024,$60.34,17117340,$60.60,$61.8657,$60.015
02/28/2024,$60.25,9851606,$59.70,$60.90,$59.44
02/27/2024,$60.16,11467610,$59.57,$60.24,$59.44
02/26/2024,$59.33,11065550,$58.93,$60.175,$58.71
02/23/2024,$59.16,13356990,$58.85,$59.4301,$58.2301
02/22/2024,$58.35,17292990,$57.77,$58.64,$57.37
02/21/2024,$57.48,13424270,$58.08,$58.45,$57.145
02/20/2024,$58.63,12399530,$58.23,$59.0299,$58.19
02/16/2024,$59.14,12195810,$58.86,$59.75,$58.4501
02/15/2024,$59.70,13321040,$58.86,$60.245,$58.06
02/14/2024,$58.87,16520620,$58.595,$59.015,$57.63
02/13/2024,$58.26,19540230,$57.88,$58.7301,$57.86
02/12/2024,$60.09,21768230,$58.61,$60.615,$58.42
02/09/2024,$58.91,31421420,$56.205,$59.22,$56.1601
02/08/2024,$56.13,68272670,$57.98,$58.59,$55.77
02/07/2024,$63.24,33211330,$64.54,$64.90,$62.85
02/06/2024,$63.71,17564320,$62.03,$63.73,$61.62
02/05/2024,$61.54,10223340,$62.00,$62.0779,$61.30
