Date,Close/Last,Volume,Open,High,Low
03/22/2024,$967.24,274406,$973.00,$977.39,$966.47
03/21/2024,$968.01,435147,$974.75,$979.255,$968.00
03/20/2024,$966.96,579358,$959.06,$967.20,$947.3661
03/19/2024,$963.66,365329,$965.11,$969.16,$959.14
03/18/2024,$959.92,360302,$970.00,$970.71,$959.49
03/15/2024,$964.47,1090502,$956.47,$968.51,$953.7246
03/14/2024,$959.04,507315,$966.30,$969.18,$950.97
03/13/2024,$965.47,386222,$979.82,$979.82,$963.83
03/12/2024,$970.57,359030,$964.44,$975.93,$963.00
03/11/2024,$964.44,355650,$971.09,$979.80,$960.44
03/08/2024,$968.83,354442,$973.34,$976.00,$962.815
03/07/2024,$973.31,380462,$971.13,$979.25,$969.875
03/06/2024,$972.10,366834,$959.23,$974.18,$955.56
03/05/2024,$965.21,397484,$972.72,$977.67,$953.29
03/04/2024,$971.19,455589,$982.82,$985.21,$966.22
03/01/2024,$982.82,370542,$967.50,$988.13,$966.09
02/29/2024,$966.09,792294,$989.91,$990.30,$965.16
02/28/2024,$987.61,485993,$995.00,$998.325,$987.61
02/27/2024,$993.35,464219,$989.00,$995.41,$975.22
02/26/2024,$989.28,541367,$977.55,$995.97,$975.00
02/23/2024,$981.20,439621,$975.00,$985.64,$969.15
02/22/2024,$964.89,614746,$953.57,$973.00,$947.8525
02/21/2024,$952.84,300492,$952.00,$958.00,$945.70
02/20/2024,$946.87,417733,$950.00,$963.00,$943.73
02/16/2024,$948.05,367432,$953.44,$956.52,$944.12
02/15/2024,$954.73,334358,$951.67,$958.7418,$948.93
02/14/2024,$947.82,373521,$943.10,$951.83,$936.70
02/13/2024,$940.48,523811,$946.17,$947.46,$933.80
02/12/2024,$947.06,604158,$952.39,$954.53,$941.01
02/09/2024,$953.42,613776,$948.00,$957.51,$945.85
02/08/2024,$946.43,487621,$934.79,$947.235,$930.04
02/07/2024,$938.49,456430,$940.00,$954.30,$933.46
02/06/2024,$937.81,460425,$940.00,$945.455,$927.52
02/05/2024,$936.33,703802,$931.87,$939.495,$923.0333
02/02/2024,$945.18,752000,$971.23,$973.99,$939.31
02/01/2024,$957.78,520534,$945.61,$964.93,$937.47
01/31/2024,$942.78,601945,$961.05,$965.66,$941.19
01/30/2024,$959.73,374686,$956.00,$960.21,$945.10
01/29/2024,$955.80,530094,$946.12,$957.67,$943.84
01/26/2024,$940.05,460540,$952.00,$958.1464,$939.06
01/25/2024,$948.87,394186,$957.60,$957.7548,$945.00
01/24/2024,$948.24,390511,$957.03,$957.03,$945.4901
01/23/2024,$954.58,568405,$943.34,$955.31,$941.70
01/22/2024,$942.83,530632,$936.48,$943.92,$922.00
01/19/2024,$933.40,716493,$933.18,$937.99,$928.645
01/18/2024,$930.00,513702,$923.97,$937.39,$917.70
01/17/2024,$929.13,526738,$939.76,$943.00,$921.68
01/16/2024,$937.32,761637,$931.21,$937.48,$929.12
01/12/2024,$933.20,560031,$925.00,$935.37,$921.00
01/11/2024,$915.97,521327,$902.92,$916.92,$899.07
01/10/2024,$906.16,382256,$895.65,$907.22,$894.62
01/09/2024,$902.69,499425,$895.37,$903.28,$888.82
01/08/2024,$902.88,723198,$890.00,$903.595,$881.01
01/05/2024,$913.17,486059,$905.00,$922.71,$904.00
01/04/2024,$912.17,557427,$917.78,$924.89,$909.21
01/03/2024,$917.56,758882,$906.80,$923.60,$901.00
01/02/2024,$905.00,1001141,$873.91,$905.29,$871.39
12/29/2023,$878.29,534334,$877.91,$883.34,$875.62
12/28/2023,$881.70,637480,$874.27,$895.49,$874.27
12/27/2023,$874.37,1274025,$847.66,$899.86,$844.5583
12/26/2023,$849.53,306193,$848.53,$850.14,$842.72
12/22/2023,$846.72,742781,$846.27,$851.16,$843.39
12/21/2023,$841.88,332610,$843.48,$847.29,$838.455
12/20/2023,$841.79,515912,$850.00,$850.00,$841.30
12/19/2023,$848.39,844260,$852.96,$854.435,$844.18
12/18/2023,$850.87,627567,$853.78,$857.90,$848.59
12/15/2023,$859.14,1791690,$876.12,$887.94,$854.02
12/14/2023,$876.00,598129,$873.81,$878.69,$867.105
12/13/2023,$876.12,679990,$863.13,$879.459,$862.79
12/12/2023,$863.76,500554,$848.85,$866.71,$846.71
12/11/2023,$848.42,458842,$838.44,$849.73,$838.44
12/08/2023,$840.14,388118,$844.33,$848.02,$839.55
12/07/2023,$849.18,567385,$840.00,$850.275,$831.19
12/06/2023,$835.75,554087,$825.55,$842.00,$824.22
12/05/2023,$820.90,319428,$817.81,$823.68,$809.2433
12/04/2023,$823.32,508434,$804.55,$824.61,$802.55
12/01/2023,$814.86,560248,$824.94,$828.42,$808.89
11/30/2023,$823.81,954624,$811.78,$828.855,$810.25
11/29/2023,$808.59,627657,$804.17,$814.30,$800.24
11/28/2023,$801.14,446730,$796.23,$801.63,$792.57
11/27/2023,$798.08,440182,$802.00,$805.00,$793.18
11/24/2023,$798.30,171558,$803.98,$803.98,$795.02
11/22/2023,$799.73,233085,$802.64,$807.46,$798.09
11/21/2023,$798.83,310767,$805.15,$805.15,$793.00
11/20/2023,$801.64,340728,$795.27,$806.87,$795.27
