Date,Close/Last,Volume,Open,High,Low
03/22/2024,$556.38,240532,$558.97,$558.97,$553.045
03/21/2024,$556.28,425013,$556.55,$558.63,$554.46
03/20/2024,$554.06,442382,$553.09,$556.781,$550.10
03/19/2024,$551.87,317773,$547.00,$552.265,$545.78
03/18/2024,$546.16,373150,$548.60,$551.17,$545.43
03/15/2024,$547.35,877141,$544.42,$551.79,$542.285
03/14/2024,$547.08,375899,$549.63,$551.835,$543.87
03/13/2024,$549.52,439549,$557.77,$557.77,$547.66
03/12/2024,$555.20,465149,$554.60,$558.26,$553.62
03/11/2024,$553.88,521430,$545.21,$554.26,$542.90
03/08/2024,$545.95,310392,$546.17,$548.555,$544.35
03/07/2024,$546.32,301852,$545.14,$549.14,$543.29
03/06/2024,$540.21,441889,$537.50,$546.20,$535.59
03/05/2024,$537.01,431405,$544.24,$544.24,$534.73
03/04/2024,$547.22,521196,$549.35,$552.06,$545.4524
03/01/2024,$547.96,781694,$541.07,$549.82,$540.60
02/29/2024,$544.73,817882,$546.15,$546.15,$539.26
02/28/2024,$543.45,457458,$544.39,$545.84,$541.67
02/27/2024,$547.10,852242,$548.01,$548.56,$542.515
02/26/2024,$547.91,847202,$554.08,$556.57,$545.83
02/23/2024,$556.87,985097,$559.16,$559.97,$554.94
02/22/2024,$555.31,610286,$552.52,$558.66,$552.52
02/21/2024,$549.02,381166,$542.89,$549.51,$540.46
02/20/2024,$544.11,440488,$545.57,$547.43,$539.81
02/16/2024,$545.57,552654,$549.95,$550.43,$543.99
02/15/2024,$547.98,420606,$543.16,$548.93,$538.29
02/14/2024,$541.71,460920,$535.90,$541.91,$534.55
02/13/2024,$535.42,433421,$536.80,$538.09,$532.0292
02/12/2024,$542.31,343850,$548.85,$548.85,$540.02
02/09/2024,$550.26,388033,$548.49,$550.765,$545.1071
02/08/2024,$545.34,508848,$550.84,$553.08,$540.38
02/07/2024,$548.69,413586,$550.00,$550.635,$546.81
02/06/2024,$545.30,348647,$548.37,$548.37,$541.87
02/05/2024,$545.89,335573,$548.79,$549.57,$542.06
02/02/2024,$549.62,489590,$544.10,$551.27,$538.54
02/01/2024,$545.81,561934,$538.57,$546.26,$534.81
01/31/2024,$537.00,993248,$527.48,$549.32,$525.18
01/30/2024,$561.57,621462,$558.26,$562.69,$555.14
01/29/2024,$555.93,413001,$549.31,$556.155,$548.73
01/26/2024,$549.68,426290,$552.94,$553.08,$546.40
01/25/2024,$551.70,884671,$552.19,$553.37,$548.26
01/24/2024,$547.77,353586,$553.42,$554.23,$547.32
01/23/2024,$552.81,303999,$550.00,$553.20,$545.901
01/22/2024,$549.91,449244,$550.00,$553.40,$547.89
01/19/2024,$548.49,427384,$543.30,$548.52,$541.32
01/18/2024,$541.94,424961,$535.01,$542.22,$533.67
01/17/2024,$537.19,427423,$535.68,$540.00,$532.56
01/16/2024,$537.27,428767,$532.48,$537.53,$531.38
01/12/2024,$534.19,434982,$535.88,$535.88,$531.06
01/11/2024,$532.40,336269,$529.87,$532.86,$528.19
01/10/2024,$530.30,401380,$528.97,$531.32,$527.355
01/09/2024,$531.52,372990,$528.77,$533.03,$526.93
01/08/2024,$528.78,509164,$522.32,$529.345,$522.06
01/05/2024,$523.07,444049,$525.00,$526.65,$521.70
01/04/2024,$524.17,601040,$526.00,$530.95,$523.505
01/03/2024,$531.00,488441,$534.49,$537.435,$530.80
01/02/2024,$534.49,618515,$542.38,$545.24,$530.93
12/29/2023,$545.17,398900,$546.42,$548.85,$543.78
12/28/2023,$546.15,267809,$544.18,$547.38,$543.57
12/27/2023,$543.75,539378,$544.70,$545.00,$542.74
12/26/2023,$543.55,443618,$543.61,$546.47,$541.75
12/22/2023,$542.85,420821,$543.15,$545.86,$541.345
12/21/2023,$540.30,407739,$538.50,$541.58,$535.60
12/20/2023,$534.94,676240,$540.42,$544.98,$534.81
12/19/2023,$541.56,499944,$543.82,$544.55,$537.73
12/18/2023,$542.97,653309,$544.44,$544.85,$539.05
