Date,Close/Last,Volume,Open,High,Low
03/22/2024,$145.37,2080412,$146.96,$146.96,$145.27
03/21/2024,$147.19,1999786,$147.54,$148.80,$147.06
03/20/2024,$146.98,1599960,$146.21,$147.33,$146.21
03/19/2024,$146.43,2437712,$144.32,$146.53,$144.16
03/18/2024,$144.31,2250850,$145.52,$146.082,$144.13
03/15/2024,$145.12,4555388,$145.06,$147.13,$144.39
03/14/2024,$146.02,2618150,$147.74,$147.88,$145.60
03/13/2024,$147.09,1851933,$146.40,$147.89,$145.61
03/12/2024,$146.49,2138745,$145.35,$146.775,$145.005
03/11/2024,$145.87,1643278,$146.16,$147.005,$144.31
03/08/2024,$145.74,3079345,$145.82,$147.18,$144.685
03/07/2024,$146.02,2917784,$149.50,$150.00,$145.74
03/06/2024,$148.12,4094742,$144.30,$149.90,$143.32
03/05/2024,$149.17,3301030,$150.16,$150.63,$148.20
03/04/2024,$149.96,3258021,$150.56,$150.92,$149.30
03/01/2024,$149.63,1426227,$148.73,$150.10,$148.35
02/29/2024,$148.96,2785736,$151.05,$151.12,$148.70
02/28/2024,$150.45,1594088,$149.48,$151.05,$149.27
02/27/2024,$149.62,1618328,$148.38,$149.86,$147.995
02/26/2024,$147.84,1601743,$148.21,$149.07,$147.14
02/23/2024,$148.03,1581674,$147.70,$149.61,$147.25
02/22/2024,$146.90,2101118,$145.42,$146.92,$144.90
02/21/2024,$144.82,1484056,$145.14,$145.59,$143.70
02/20/2024,$144.45,1788425,$144.08,$144.97,$143.82
02/16/2024,$144.08,1876354,$144.35,$145.45,$142.81
02/15/2024,$144.39,1891499,$145.20,$145.22,$143.77
02/14/2024,$144.49,1451515,$145.02,$145.57,$143.52
02/13/2024,$144.94,1604562,$143.96,$145.04,$143.447
02/12/2024,$145.41,1949068,$145.69,$145.92,$144.46
02/09/2024,$145.87,1283021,$145.77,$146.42,$145.20
02/08/2024,$146.06,1336717,$144.98,$146.12,$144.805
02/07/2024,$143.25,1804612,$142.27,$143.97,$141.40
02/06/2024,$142.16,1796028,$142.76,$142.76,$141.28
02/05/2024,$142.75,2879303,$142.65,$143.07,$141.45
02/02/2024,$143.68,1956152,$142.51,$144.75,$141.46
02/01/2024,$143.11,1728604,$140.80,$143.16,$140.78
01/31/2024,$140.28,1616790,$142.52,$142.90,$139.75
01/30/2024,$142.51,1847624,$142.51,$143.09,$141.0447
01/29/2024,$142.94,1820883,$141.41,$143.05,$141.11
01/26/2024,$141.76,1910365,$141.46,$142.01,$140.72
