Date,Close/Last,Volume,Open,High,Low
03/22/2024,$3.88,15557640,$3.91,$3.92,$3.8313
03/21/2024,$3.88,19992290,$3.91,$3.93,$3.87
03/20/2024,$3.87,20162830,$3.97,$3.975,$3.83
03/19/2024,$3.99,14386320,$4.00,$4.03,$3.96
03/18/2024,$4.03,11453530,$4.07,$4.07,$4.00
03/15/2024,$4.05,25821970,$4.10,$4.13,$4.0325
03/14/2024,$4.08,19928040,$4.14,$4.15,$4.021
03/13/2024,$4.14,22036400,$4.13,$4.19,$4.095
03/12/2024,$4.11,22458430,$4.14,$4.17,$4.01
03/11/2024,$4.17,15283570,$4.14,$4.22,$4.13
03/08/2024,$4.16,16137510,$4.15,$4.24,$4.12
03/07/2024,$4.18,13169940,$4.24,$4.25,$4.15
03/06/2024,$4.19,19702080,$4.16,$4.23,$4.095
03/05/2024,$4.17,15635050,$4.20,$4.21,$4.14
03/04/2024,$4.17,17222250,$4.27,$4.285,$4.14
03/01/2024,$4.27,16513820,$4.38,$4.40,$4.26
02/29/2024,$4.42,25011810,$4.50,$4.50,$4.30
02/28/2024,$4.43,15806260,$4.69,$4.71,$4.42
02/27/2024,$4.69,8907240,$4.71,$4.745,$4.67
02/26/2024,$4.73,8907568,$4.73,$4.78,$4.70
02/23/2024,$4.76,8289119,$4.73,$4.80,$4.69
02/22/2024,$4.73,12026760,$4.68,$4.745,$4.65
02/21/2024,$4.68,12146550,$4.74,$4.76,$4.62
02/20/2024,$4.73,13841960,$4.855,$4.855,$4.71
02/16/2024,$4.80,14436620,$4.82,$4.87,$4.72
02/15/2024,$4.80,11297470,$4.94,$4.94,$4.775
02/14/2024,$4.81,14366740,$4.92,$4.92,$4.76
02/13/2024,$4.77,16434760,$4.91,$4.92,$4.74
02/12/2024,$5.03,8645787,$4.90,$5.05,$4.8848
02/09/2024,$4.90,15342120,$5.00,$5.01,$4.885
02/08/2024,$4.99,11964240,$5.09,$5.09,$4.97
02/07/2024,$5.07,9319415,$5.15,$5.16,$5.03
02/06/2024,$5.11,8957123,$5.18,$5.18,$5.06
02/05/2024,$5.14,9457971,$5.09,$5.15,$5.01
02/02/2024,$5.17,14207240,$5.12,$5.18,$5.045
02/01/2024,$5.23,14385610,$5.24,$5.35,$5.07
01/31/2024,$5.09,15113590,$5.12,$5.26,$5.04
01/30/2024,$5.11,15777380,$5.22,$5.2305,$5.06
01/29/2024,$5.28,12753870,$5.29,$5.35,$5.21
01/26/2024,$5.34,9492369,$5.35,$5.42,$5.30
01/25/2024,$5.37,11301840,$5.50,$5.505,$5.24
01/24/2024,$5.42,11667290,$5.49,$5.54,$5.35
01/23/2024,$5.44,7452137,$5.34,$5.44,$5.3001
01/22/2024,$5.42,10303440,$5.41,$5.49,$5.365
01/19/2024,$5.42,15206660,$5.31,$5.435,$5.29
01/18/2024,$5.36,14769610,$5.20,$5.37,$5.19
01/17/2024,$5.26,18202640,$5.10,$5.28,$5.07
01/16/2024,$5.17,12149160,$5.18,$5.23,$5.08
01/12/2024,$5.21,8442626,$5.28,$5.31,$5.19
01/11/2024,$5.24,8702744,$5.36,$5.365,$5.15
01/10/2024,$5.37,12243090,$5.35,$5.43,$5.29
01/09/2024,$5.40,11106400,$5.43,$5.46,$5.35
01/08/2024,$5.48,13423800,$5.45,$5.545,$5.42
01/05/2024,$5.46,15563200,$5.41,$5.55,$5.37
01/04/2024,$5.43,8881923,$5.40,$5.47,$5.29
01/03/2024,$5.44,14631860,$5.49,$5.52,$5.365
01/02/2024,$5.49,15594780,$5.45,$5.68,$5.42
12/29/2023,$5.47,8542902,$5.52,$5.52,$5.42
12/28/2023,$5.53,7115672,$5.49,$5.60,$5.49
12/27/2023,$5.48,8919996,$5.49,$5.57,$5.44
12/26/2023,$5.50,7249225,$5.45,$5.525,$5.4217
12/22/2023,$5.47,8635431,$5.48,$5.49,$5.39
12/21/2023,$5.48,10321630,$5.30,$5.49,$5.27
12/20/2023,$5.23,15822570,$5.43,$5.625,$5.21
12/19/2023,$5.45,13740110,$5.29,$5.47,$5.26
12/18/2023,$5.23,17749690,$5.42,$5.42,$5.14
12/15/2023,$5.40,32868720,$5.71,$5.78,$5.29
12/14/2023,$5.69,21754880,$5.50,$5.75,$5.40
12/13/2023,$5.43,21829820,$5.29,$5.46,$5.21
12/12/2023,$5.30,28507340,$5.00,$5.30,$4.67
12/11/2023,$5.02,22146320,$4.70,$5.13,$4.68
12/08/2023,$4.64,9489872,$4.63,$4.68,$4.57
12/07/2023,$4.71,13968900,$4.55,$4.71,$4.48
12/06/2023,$4.49,10556470,$4.57,$4.65,$4.49
12/05/2023,$4.51,16016690,$4.53,$4.55,$4.41
12/04/2023,$4.56,14544680,$4.85,$4.86,$4.53
12/01/2023,$4.88,11258810,$4.70,$4.91,$4.59
11/30/2023,$4.68,17758320,$4.71,$4.76,$4.62
11/29/2023,$4.70,12022450,$4.86,$4.86,$4.60
11/28/2023,$4.75,8681192,$4.83,$4.84,$4.725
11/27/2023,$4.83,6668829,$4.91,$4.91,$4.79
11/24/2023,$4.93,3740445,$4.90,$4.94,$4.85
11/22/2023,$4.90,10061920,$4.86,$4.96,$4.86
11/21/2023,$4.85,11353880,$5.15,$5.15,$4.84
11/20/2023,$5.14,8996680,$5.11,$5.18,$5.045
11/17/2023,$5.08,8942360,$5.14,$5.14,$5.02
11/16/2023,$5.13,10190080,$5.27,$5.28,$4.96
11/15/2023,$5.19,20913670,$5.49,$5.62,$5.15
11/14/2023,$4.89,10685290,$4.75,$4.89,$4.72
11/13/2023,$4.67,7803933,$4.65,$4.68,$4.54
11/10/2023,$4.63,12892240,$4.70,$4.74,$4.57
11/09/2023,$4.69,10248360,$4.68,$5.065,$4.66
11/08/2023,$4.68,8540704,$4.63,$4.74,$4.62
11/07/2023,$4.71,11046380,$4.65,$4.81,$4.61
11/06/2023,$4.71,10162220,$4.95,$5.14,$4.70
11/03/2023,$4.95,17491740,$4.75,$5.07,$4.72
11/02/2023,$4.65,11910650,$4.53,$4.68,$4.52
11/01/2023,$4.50,18488730,$4.31,$4.55,$4.21
10/31/2023,$4.28,13351240,$4.26,$4.4784,$4.17
10/30/2023,$4.18,13523220,$4.16,$4.2382,$4.14
10/27/2023,$4.12,9909615,$4.20,$4.24,$4.11
10/26/2023,$4.23,11514470,$4.45,$4.45,$4.22
10/25/2023,$4.36,13693880,$4.40,$4.442,$4.32
10/24/2023,$4.44,6453423,$4.54,$4.55,$4.41
10/23/2023,$4.48,9676345,$4.50,$4.54,$4.40
10/20/2023,$4.47,8385354,$4.46,$4.56,$4.45
10/19/2023,$4.56,8771368,$4.60,$4.69,$4.535
10/18/2023,$4.60,5761404,$4.72,$4.72,$4.59
10/17/2023,$4.72,8640363,$4.89,$4.90,$4.7101
10/16/2023,$4.84,11470020,$4.85,$4.89,$4.74
10/13/2023,$4.85,18216620,$4.69,$4.86,$4.615
10/12/2023,$4.59,12338790,$4.61,$4.625,$4.465
10/11/2023,$4.59,8820627,$4.57,$4.59,$4.47
10/10/2023,$4.47,12000760,$4.46,$4.485,$4.425
10/09/2023,$4.42,9652304,$4.32,$4.51,$4.27
10/06/2023,$4.32,13576080,$4.34,$4.42,$4.28
10/05/2023,$4.37,12208760,$4.50,$4.50,$4.325
10/04/2023,$4.45,14705930,$4.36,$4.49,$4.30
10/03/2023,$4.29,13981990,$4.29,$4.37,$4.20
10/02/2023,$4.31,21307060,$4.48,$4.55,$4.28
09/29/2023,$4.52,22048060,$4.62,$4.83,$4.475
09/28/2023,$4.68,45479600,$4.16,$4.92,$4.00
09/27/2023,$4.07,29033060,$3.94,$4.08,$3.81
09/26/2023,$3.88,64501240,$3.65,$4.06,$3.48
09/25/2023,$4.01,9650543,$4.00,$4.055,$3.97
09/22/2023,$4.03,9280740,$4.13,$4.17,$4.01
09/21/2023,$4.10,11645050,$4.12,$4.15,$4.055
09/20/2023,$4.12,9004823,$4.21,$4.25,$4.11
09/19/2023,$4.18,10247810,$4.07,$4.18,$4.07
09/18/2023,$4.10,20817920,$4.02,$4.19,$4.01
09/15/2023,$3.99,81818510,$4.34,$4.345,$3.93
09/14/2023,$4.32,18053560,$4.18,$4.35,$4.18
09/13/2023,$4.15,12687050,$4.27,$4.31,$4.15
09/12/2023,$4.28,11705210,$4.17,$4.30,$4.15
09/11/2023,$4.23,10397230,$4.24,$4.36,$4.21
09/08/2023,$4.26,15167660,$4.24,$4.27,$4.17
09/07/2023,$4.21,11420010,$4.29,$4.33,$4.13
09/06/2023,$4.29,8371683,$4.27,$4.355,$4.23
09/05/2023,$4.28,12481720,$4.48,$4.51,$4.26
09/01/2023,$4.50,10330250,$4.45,$4.53,$4.42
08/31/2023,$4.40,15290000,$4.61,$4.61,$4.39
08/30/2023,$4.58,17284660,$4.45,$4.60,$4.43
08/29/2023,$4.28,11030880,$4.12,$4.33,$4.11
08/28/2023,$4.10,8598555,$4.08,$4.14,$4.04
08/25/2023,$4.04,8886655,$4.01,$4.13,$4.01
08/24/2023,$4.01,13515140,$4.10,$4.21,$3.99
08/23/2023,$4.13,16915330,$4.27,$4.28,$4.11
08/22/2023,$4.27,16654260,$4.47,$4.51,$4.23
08/21/2023,$4.40,11450630,$4.42,$4.50,$4.38
08/18/2023,$4.49,10640010,$4.50,$4.61,$4.46
08/17/2023,$4.50,11623900,$4.62,$4.66,$4.49
08/16/2023,$4.62,9106642,$4.70,$4.74,$4.62
08/15/2023,$4.71,8703700,$4.65,$4.75,$4.61
08/14/2023,$4.70,7987007,$4.72,$4.815,$4.67
08/11/2023,$4.75,8315382,$4.79,$4.88,$4.73
08/10/2023,$4.84,17793030,$5.00,$5.18,$4.82
08/09/2023,$4.88,13107380,$4.79,$4.905,$4.78
08/08/2023,$4.82,13513990,$4.72,$4.83,$4.61
