Date,Close/Last,Volume,Open,High,Low
03/22/2024,$594.20,1242472,$601.00,$604.91,$588.28
03/21/2024,$602.01,1814004,$600.00,$616.54,$593.00
03/20/2024,$589.78,1135018,$592.49,$598.00,$581.0601
03/19/2024,$584.71,1557531,$572.18,$585.74,$562.00
03/18/2024,$560.63,1085370,$558.59,$565.95,$555.12
03/15/2024,$550.03,1348312,$557.37,$562.00,$546.91
03/14/2024,$559.31,732717,$563.18,$567.17,$554.505
03/13/2024,$561.20,894261,$569.58,$570.37,$556.67
03/12/2024,$576.72,622924,$568.49,$577.19,$564.0101
03/11/2024,$565.32,656548,$562.99,$567.72,$555.49
03/08/2024,$571.29,724728,$585.26,$586.26,$569.56
03/07/2024,$583.35,756008,$583.19,$588.13,$577.9127
03/06/2024,$575.97,787932,$574.91,$582.52,$567.01
03/05/2024,$565.26,977146,$589.11,$591.23,$560.50
03/04/2024,$594.32,1063784,$597.76,$604.3531,$591.30
03/01/2024,$591.35,962818,$572.56,$592.895,$572.56
02/29/2024,$573.73,993902,$575.55,$579.44,$571.00
02/28/2024,$570.28,589306,$570.95,$572.79,$566.20
02/27/2024,$574.00,731200,$577.30,$578.095,$567.38
02/26/2024,$575.70,1034013,$579.68,$581.49,$571.01
02/23/2024,$575.65,1211004,$583.95,$585.01,$570.75
02/22/2024,$580.90,3322380,$589.99,$629.38,$579.11
02/21/2024,$543.57,1830451,$539.00,$544.87,$527.0256
02/20/2024,$547.98,1115694,$551.50,$555.00,$538.72
02/16/2024,$552.91,896237,$559.95,$563.87,$550.98
02/15/2024,$557.83,858016,$567.14,$568.5968,$556.8999
02/14/2024,$562.73,929377,$554.59,$562.89,$554.45
02/13/2024,$548.53,1477893,$549.07,$554.66,$538.00
02/12/2024,$568.93,813263,$576.00,$577.958,$565.37
02/09/2024,$575.30,999873,$574.34,$582.8467,$571.32
02/08/2024,$570.69,1513594,$563.25,$573.58,$562.00
02/07/2024,$554.28,1044572,$546.00,$559.27,$546.00
02/06/2024,$542.43,1341978,$561.27,$563.589,$534.2101
02/05/2024,$559.14,1237090,$555.01,$561.68,$550.30
02/02/2024,$552.05,1274325,$541.18,$552.41,$541.18
02/01/2024,$540.00,974169,$534.00,$542.215,$531.0101
01/31/2024,$533.35,1439894,$538.00,$539.24,$531.13
01/30/2024,$543.18,1013450,$539.90,$543.64,$536.615
01/29/2024,$539.90,1074211,$529.41,$540.35,$528.905
01/26/2024,$528.13,1028328,$530.80,$532.855,$525.42
01/25/2024,$536.68,1258687,$545.00,$546.20,$533.63
01/24/2024,$540.46,1375750,$552.48,$554.57,$538.89
01/23/2024,$548.90,1860677,$545.64,$549.32,$537.75
01/22/2024,$541.71,3231492,$524.15,$542.50,$523.00
01/19/2024,$517.31,2696481,$498.00,$517.70,$496.13
01/18/2024,$494.34,2753077,$511.27,$515.00,$491.58
01/17/2024,$507.87,1821418,$511.98,$514.25,$496.025
01/16/2024,$509.68,3495834,$501.52,$517.245,$499.78
01/12/2024,$494.40,1107733,$501.30,$502.68,$493.19
01/11/2024,$498.46,1483773,$507.50,$509.74,$493.18
01/10/2024,$505.18,1277610,$503.82,$509.00,$501.45
01/09/2024,$501.87,1171475,$495.00,$503.84,$495.00
01/08/2024,$499.98,1829006,$490.39,$500.39,$488.06
01/05/2024,$484.81,3014114,$492.03,$496.15,$477.65
01/04/2024,$490.18,884378,$489.75,$494.39,$488.43
01/03/2024,$492.40,1205330,$496.46,$496.61,$489.41
01/02/2024,$498.97,1277816,$507.95,$509.50,$496.81
12/29/2023,$514.91,769247,$516.62,$518.385,$510.74
12/28/2023,$517.41,852208,$520.00,$520.995,$515.18
12/27/2023,$518.10,1107308,$523.00,$524.99,$516.61
12/26/2023,$520.25,2096913,$530.00,$534.5781,$519.16
12/22/2023,$524.46,2971210,$562.00,$562.05,$523.00
12/21/2023,$559.96,636841,$557.27,$562.425,$555.91
12/20/2023,$551.72,694607,$557.27,$563.32,$551.57
12/19/2023,$558.65,794913,$563.39,$565.64,$555.58
12/18/2023,$559.69,645685,$557.46,$563.425,$555.00
12/15/2023,$556.27,2477088,$548.93,$558.18,$548.09
12/14/2023,$551.45,1747569,$570.60,$571.865,$549.02
12/13/2023,$568.09,782921,$571.69,$573.77,$561.96
12/12/2023,$567.06,788701,$557.74,$568.33,$555.55
12/11/2023,$556.02,899003,$540.00,$557.42,$538.65
12/08/2023,$535.93,569163,$531.63,$539.69,$531.63
12/07/2023,$534.15,557290,$531.30,$535.08,$528.97
12/06/2023,$527.49,688127,$538.66,$540.19,$526.50
12/05/2023,$535.71,880015,$525.36,$535.95,$523.60
12/04/2023,$531.20,1061511,$540.15,$542.41,$522.92
12/01/2023,$545.96,876617,$543.56,$548.19,$539.28
11/30/2023,$543.23,2185950,$558.47,$564.78,$530.50
11/29/2023,$552.46,1123679,$550.59,$557.00,$549.3771
11/28/2023,$543.73,880812,$542.04,$544.4799,$539.15
11/27/2023,$543.53,997239,$545.90,$549.67,$539.48
11/24/2023,$542.69,243318,$538.43,$543.4152,$537.94
11/22/2023,$541.03,600703,$542.22,$549.00,$540.70
11/21/2023,$540.38,683658,$542.18,$545.57,$535.70
11/20/2023,$541.52,698179,$536.92,$544.7199,$535.30
11/17/2023,$534.78,599888,$534.21,$539.84,$531.89
11/16/2023,$533.45,816370,$530.34,$537.78,$528.48
11/15/2023,$529.32,1284534,$540.55,$541.835,$524.51
11/14/2023,$538.32,785036,$531.33,$538.82,$525.23
11/13/2023,$522.88,713202,$516.23,$524.81,$514.445
11/10/2023,$518.83,1109256,$511.07,$520.51,$507.86
11/09/2023,$505.17,789048,$505.81,$513.00,$504.16
11/08/2023,$506.16,791687,$500.00,$506.90,$499.64
11/07/2023,$499.02,662453,$494.01,$500.58,$490.12
11/06/2023,$489.94,651595,$487.95,$490.3399,$484.895
11/03/2023,$487.94,710648,$482.46,$492.24,$480.62
11/02/2023,$478.64,1001506,$480.36,$482.54,$472.10
11/01/2023,$475.38,939189,$470.70,$477.80,$468.00
10/31/2023,$469.44,729731,$464.32,$472.29,$459.0801
10/30/2023,$460.94,697804,$460.27,$462.74,$455.00
10/27/2023,$457.00,559715,$457.63,$460.15,$453.38
10/26/2023,$453.54,630407,$458.42,$460.59,$448.91
10/25/2023,$455.26,853594,$467.61,$468.24,$454.27
10/24/2023,$468.03,642899,$466.48,$474.40,$463.49
10/23/2023,$467.82,764301,$466.00,$473.555,$461.445
10/20/2023,$467.64,1001978,$482.37,$482.43,$466.35
10/19/2023,$482.37,642481,$488.51,$492.33,$481.35
10/18/2023,$485.73,605217,$490.53,$493.06,$483.96
