Date,Close/Last,Volume,Open,High,Low
03/22/2024,$192.53,2268597,$196.45,$196.545,$191.27
03/21/2024,$197.26,1696463,$199.55,$201.0658,$196.86
03/20/2024,$196.22,2664290,$195.09,$196.69,$193.22
03/19/2024,$196.43,2295052,$193.07,$197.40,$189.865
03/18/2024,$197.01,1887899,$196.12,$198.45,$195.00
03/15/2024,$194.43,3154483,$201.05,$203.08,$194.00
03/14/2024,$202.70,1926876,$207.34,$207.34,$200.69
03/13/2024,$207.73,2226512,$215.49,$215.50,$207.49
03/12/2024,$217.36,1166877,$215.68,$217.82,$213.295
03/11/2024,$215.63,1695945,$210.37,$216.64,$208.95
03/08/2024,$208.80,1782286,$204.40,$211.075,$204.40
03/07/2024,$202.96,1471381,$200.00,$203.60,$195.65
03/06/2024,$198.14,1062675,$199.94,$200.87,$194.08
03/05/2024,$196.33,1702316,$203.95,$205.23,$193.47
03/04/2024,$207.60,1034495,$209.48,$209.48,$203.37
03/01/2024,$209.20,1569277,$207.42,$209.41,$204.29
02/29/2024,$207.42,1930010,$205.66,$209.44,$205.00
02/28/2024,$207.05,1141942,$203.62,$208.49,$202.00
02/27/2024,$205.82,769731,$205.82,$208.65,$204.15
02/26/2024,$204.66,896460,$203.76,$207.10,$201.59
02/23/2024,$204.44,823169,$205.50,$207.49,$204.33
02/22/2024,$205.43,1078843,$209.10,$210.38,$204.20
02/21/2024,$204.11,1411539,$201.01,$205.51,$199.95
02/20/2024,$204.78,1767821,$205.55,$206.49,$201.0501
02/16/2024,$207.84,1327920,$212.33,$214.00,$207.19
02/15/2024,$213.12,1889026,$215.90,$216.65,$212.24
02/14/2024,$215.89,1292589,$212.40,$216.09,$209.31
02/13/2024,$210.07,1718780,$205.00,$213.87,$203.2701
02/12/2024,$216.17,1115079,$218.26,$221.00,$216.09
02/09/2024,$218.76,2076219,$214.33,$220.99,$211.245
02/08/2024,$212.29,2034010,$208.84,$216.39,$208.84
02/07/2024,$209.46,1586302,$214.11,$215.695,$208.50
02/06/2024,$211.26,2714215,$216.14,$216.47,$205.83
02/05/2024,$215.05,2918338,$216.52,$220.4315,$213.0972
02/02/2024,$217.39,9354346,$230.13,$231.5586,$211.05
02/01/2024,$254.90,2534060,$253.50,$256.88,$250.93
01/31/2024,$249.77,2304671,$252.98,$257.00,$248.34
01/30/2024,$257.43,1540939,$254.80,$258.69,$252.96
01/29/2024,$255.67,1806093,$246.63,$257.15,$246.63
01/26/2024,$247.79,1421695,$242.32,$249.4999,$241.14
01/25/2024,$244.35,1646516,$246.73,$247.08,$240.20
01/24/2024,$243.08,1401161,$254.09,$254.09,$242.66
01/23/2024,$248.45,1581579,$248.12,$248.8799,$243.83
01/22/2024,$245.59,2281387,$249.00,$253.83,$244.57
01/19/2024,$242.96,1025501,$240.55,$243.4751,$238.00
01/18/2024,$239.42,1086479,$240.58,$241.92,$236.50
01/17/2024,$236.97,1390649,$237.70,$238.53,$231.92
01/16/2024,$240.56,1539834,$237.89,$244.015,$233.24
01/12/2024,$237.00,1277935,$243.43,$243.43,$235.88
01/11/2024,$242.16,1231363,$245.73,$249.08,$240.3932
01/10/2024,$244.21,1406123,$236.36,$244.82,$235.50
01/09/2024,$235.30,853662,$231.61,$238.62,$231.58
01/08/2024,$235.59,1098958,$227.93,$236.57,$227.87
01/05/2024,$226.10,1220903,$221.68,$230.67,$221.68
01/04/2024,$222.82,1371626,$220.29,$224.37,$218.85
01/03/2024,$220.05,1304820,$223.00,$223.33,$219.3101
01/02/2024,$226.67,1963835,$235.01,$235.185,$225.30
12/29/2023,$237.86,855958,$241.22,$242.70,$237.08
12/28/2023,$241.22,736782,$242.97,$242.97,$240.2301
12/27/2023,$243.06,1212397,$245.95,$247.645,$242.44
12/26/2023,$245.05,1174318,$243.12,$247.84,$241.63
12/22/2023,$240.80,1865192,$247.45,$248.00,$238.65
12/21/2023,$245.03,1760079,$240.00,$245.33,$238.20
12/20/2023,$237.60,2587378,$233.07,$238.90,$230.09
12/19/2023,$233.07,1679599,$229.30,$235.00,$229.1601
12/18/2023,$228.56,1357269,$228.64,$231.60,$227.25
12/15/2023,$229.56,4362379,$223.79,$231.16,$223.35
12/14/2023,$221.92,2856509,$219.59,$225.31,$217.52
12/13/2023,$215.14,2853768,$203.53,$217.70,$202.79
12/12/2023,$202.00,1866532,$199.09,$202.03,$195.19
12/11/2023,$198.59,1537722,$193.43,$199.15,$193.02
12/08/2023,$192.36,1119560,$185.75,$193.39,$184.50
12/07/2023,$187.85,851388,$188.92,$190.0299,$186.21
12/06/2023,$188.72,1255490,$191.66,$192.68,$188.17
12/05/2023,$190.70,1352235,$194.54,$194.61,$188.84
12/04/2023,$194.43,1660567,$193.39,$194.9296,$187.79
12/01/2023,$195.11,1105383,$190.25,$195.57,$189.185
11/30/2023,$190.95,1802602,$196.79,$200.33,$188.88
11/29/2023,$195.55,2300683,$190.29,$199.36,$189.485
11/28/2023,$188.41,2001816,$179.50,$189.88,$179.45
11/27/2023,$180.32,1212023,$180.53,$183.9225,$180.06
11/24/2023,$181.59,477905,$179.74,$181.895,$178.63
11/22/2023,$180.55,1038227,$185.63,$186.00,$180.36
11/21/2023,$185.07,1006030,$183.61,$186.60,$181.88
11/20/2023,$186.10,1351856,$184.51,$190.42,$184.51
11/17/2023,$184.99,972840,$185.82,$186.49,$182.57
11/16/2023,$186.50,1215864,$186.29,$187.75,$183.06
11/15/2023,$187.32,1836000,$186.43,$191.37,$185.36
11/14/2023,$186.20,1760723,$180.66,$186.665,$180.00
11/13/2023,$175.04,1200290,$174.19,$176.64,$173.50
11/10/2023,$176.29,1271143,$171.55,$176.9319,$169.09
11/09/2023,$170.84,1408991,$174.99,$175.86,$169.84
11/08/2023,$174.48,1229162,$179.18,$179.18,$172.33
11/07/2023,$178.93,1522692,$176.60,$182.775,$173.29
11/06/2023,$173.55,1526615,$177.50,$178.30,$170.26
11/03/2023,$176.90,4145204,$168.24,$180.74,$165.51
11/02/2023,$181.40,3337821,$183.08,$183.59,$179.10
11/01/2023,$177.85,1748966,$180.70,$181.55,$175.35
10/31/2023,$180.64,1616023,$177.72,$182.29,$175.6881
10/30/2023,$177.99,978348,$178.81,$179.64,$173.5812
10/27/2023,$176.46,839330,$178.78,$179.9699,$174.01
10/26/2023,$176.02,1338889,$179.61,$181.66,$174.26
10/25/2023,$178.59,1924665,$186.86,$187.525,$177.10
10/24/2023,$190.60,860468,$188.74,$190.8299,$185.99
10/23/2023,$185.96,1007897,$184.42,$188.66,$181.36
10/20/2023,$187.07,1677495,$191.19,$191.19,$181.82
10/19/2023,$192.40,1068365,$196.58,$200.58,$191.41
10/18/2023,$194.01,1117456,$197.55,$198.93,$191.8074
10/17/2023,$197.79,1635971,$193.30,$201.56,$192.69
10/16/2023,$196.27,1713432,$188.70,$199.50,$188.68
10/13/2023,$188.31,2320694,$186.56,$190.50,$186.2225
10/12/2023,$186.40,3027726,$193.00,$193.29,$184.97
10/11/2023,$199.45,1420223,$207.85,$208.43,$198.74
10/10/2023,$206.00,1119410,$202.58,$208.86,$202.42
10/09/2023,$202.58,775094,$197.65,$202.63,$196.51
10/06/2023,$199.21,1448878,$184.38,$201.80,$184.38
10/05/2023,$187.85,1459352,$189.82,$191.24,$184.235
10/04/2023,$189.84,1252546,$192.26,$194.21,$189.46
10/03/2023,$190.62,1096903,$193.49,$198.3369,$189.42
10/02/2023,$197.46,1215300,$201.80,$201.82,$195.815
09/29/2023,$201.51,957751,$199.60,$203.865,$199.2101
09/28/2023,$196.94,1356923,$194.97,$200.52,$192.60
09/27/2023,$197.52,1523580,$192.92,$200.65,$192.92
09/26/2023,$191.40,1089817,$194.65,$196.775,$189.74
09/25/2023,$196.46,721091,$194.13,$197.05,$193.32
09/22/2023,$195.46,1076558,$190.48,$197.5886,$190.48
09/21/2023,$189.95,1538917,$196.34,$197.85,$189.30
09/20/2023,$200.82,751070,$207.11,$208.92,$200.54
09/19/2023,$205.36,688054,$204.62,$205.95,$199.86
