Date,Close/Last,Volume,Open,High,Low
03/22/2024,$160.61,3546447,$161.47,$161.53,$158.84
03/21/2024,$160.93,3312437,$161.63,$161.93,$160.16
03/20/2024,$161.16,4007698,$160.68,$161.59,$160.12
03/19/2024,$160.74,3232984,$161.81,$162.00,$160.65
03/18/2024,$161.15,4802956,$161.88,$162.02,$159.37
03/15/2024,$161.81,9849303,$163.23,$164.90,$161.67
03/14/2024,$162.86,3967354,$163.11,$163.38,$161.93
03/13/2024,$164.09,4441431,$164.08,$164.93,$163.475
03/12/2024,$163.68,3800520,$164.285,$164.65,$163.34
03/11/2024,$164.76,4138082,$164.10,$165.5999,$163.125
03/08/2024,$163.99,4444718,$164.27,$165.44,$163.50
03/07/2024,$164.39,5953928,$168.44,$168.64,$164.08
03/06/2024,$167.42,5924324,$165.80,$168.13,$165.80
03/05/2024,$165.90,9049545,$164.406,$166.765,$163.57
03/04/2024,$163.34,3531418,$162.69,$163.79,$162.335
03/01/2024,$163.37,3298471,$162.69,$163.76,$162.02
02/29/2024,$163.30,5128414,$164.43,$164.50,$162.45
02/28/2024,$163.80,3353975,$164.21,$164.57,$163.16
02/27/2024,$164.62,3403830,$163.53,$164.67,$162.94
02/26/2024,$163.91,3907626,$163.20,$164.38,$162.90
02/23/2024,$164.34,3910508,$163.38,$165.51,$163.38
02/22/2024,$163.55,4394854,$163.37,$164.50,$162.79
02/21/2024,$164.05,3928106,$162.81,$164.08,$162.725
02/20/2024,$162.05,4066747,$161.30,$163.36,$161.30
02/16/2024,$160.41,4594388,$161.23,$161.36,$159.615
02/15/2024,$161.57,3363766,$161.72,$162.09,$160.855
02/14/2024,$161.42,3782458,$161.72,$161.99,$160.915
02/13/2024,$161.48,4783663,$162.14,$162.91,$159.98
02/12/2024,$161.76,3261934,$162.14,$162.37,$161.095
02/09/2024,$162.19,4475593,$161.48,$162.64,$160.28
02/08/2024,$160.93,4052350,$161.78,$162.00,$159.22
02/07/2024,$161.78,3686809,$161.75,$162.30,$160.80
02/06/2024,$161.00,4142542,$161.88,$162.36,$160.59
02/05/2024,$162.01,4311607,$160.15,$162.20,$159.91
02/02/2024,$161.78,4164295,$162.74,$163.23,$161.285
02/01/2024,$162.50,5104044,$161.23,$163.00,$160.24
01/31/2024,$161.23,5427246,$162.33,$162.86,$160.455
01/30/2024,$161.70,6502749,$162.52,$163.775,$161.575
01/29/2024,$163.09,6604123,$161.69,$163.56,$159.49
01/26/2024,$162.16,8882560,$159.92,$165.69,$159.5933
01/25/2024,$162.56,7629715,$162.67,$163.44,$161.985
01/24/2024,$162.00,5742998,$163.52,$164.65,$161.87
01/23/2024,$163.74,6194023,$164.95,$165.79,$163.45
01/22/2024,$164.38,5253356,$165.30,$165.75,$164.26
01/19/2024,$165.16,4332336,$164.38,$165.945,$164.20
01/18/2024,$164.89,4041074,$162.62,$165.38,$162.27
01/17/2024,$164.27,5597955,$163.11,$165.09,$162.76
01/16/2024,$163.08,4839786,$161.82,$163.24,$160.10
01/12/2024,$162.54,3394325,$163.40,$163.75,$162.27
01/11/2024,$162.17,3661975,$163.00,$163.13,$161.83
01/10/2024,$163.29,4502178,$163.20,$163.69,$161.81
01/09/2024,$163.20,4102714,$163.05,$163.80,$161.70
01/08/2024,$163.41,4135162,$163.47,$163.99,$162.32
01/05/2024,$163.37,4552918,$162.25,$163.445,$161.74
01/04/2024,$162.30,4068757,$162.85,$163.57,$162.1801
01/03/2024,$162.08,4608645,$163.00,$164.499,$161.87
01/02/2024,$161.91,5049655,$160.33,$163.00,$160.33
12/29/2023,$160.33,3868051,$158.85,$160.882,$158.37
12/28/2023,$158.95,3013150,$158.17,$159.3098,$157.745
12/27/2023,$157.94,3575933,$156.02,$158.52,$155.81
12/26/2023,$156.83,2991219,$155.11,$157.28,$153.84
