Date,Close/Last,Volume,Open,High,Low
03/22/2024,$85.06,3026547,$85.27,$85.53,$84.06
03/21/2024,$85.06,4484600,$84.73,$85.42,$84.29
03/20/2024,$83.47,6542800,$80.65,$84.48,$80.5442
03/19/2024,$79.76,3581287,$78.37,$80.08,$77.95
03/18/2024,$78.35,3047251,$77.76,$79.02,$77.02
03/15/2024,$76.72,4366854,$77.53,$78.05,$76.42
03/14/2024,$77.53,5793125,$80.35,$80.41,$76.99
03/13/2024,$80.16,3319926,$80.14,$81.51,$80.03
03/12/2024,$80.43,2943620,$82.00,$82.25,$80.01
03/11/2024,$81.45,2340562,$81.01,$82.16,$80.64
03/08/2024,$81.59,3545729,$81.77,$83.74,$81.32
03/07/2024,$81.83,2935285,$82.60,$83.2999,$81.60
03/06/2024,$82.18,3481103,$82.60,$83.01,$81.21
03/05/2024,$81.45,2974456,$82.27,$82.4963,$80.71
03/04/2024,$83.45,3449122,$82.96,$83.65,$81.92
03/01/2024,$83.89,4647099,$85.90,$86.00,$83.54
02/29/2024,$85.43,4771265,$85.50,$85.97,$84.57
02/28/2024,$84.90,3933322,$84.56,$85.69,$84.09
02/27/2024,$85.60,5089382,$82.98,$85.65,$82.30
02/26/2024,$82.19,4563488,$81.50,$82.38,$80.29
02/23/2024,$81.44,4517051,$83.92,$84.04,$80.97
02/22/2024,$83.50,5515005,$83.61,$84.37,$81.87
02/21/2024,$82.08,5746163,$81.22,$82.19,$80.02
02/20/2024,$82.56,11845830,$85.61,$86.46,$80.665
02/16/2024,$88.93,29562230,$89.50,$94.00,$85.68
02/15/2024,$75.71,9616788,$73.68,$76.17,$73.68
02/14/2024,$74.31,3975190,$74.30,$74.43,$72.21
02/13/2024,$72.94,5011656,$71.39,$73.77,$71.11
02/12/2024,$73.91,7224964,$70.80,$75.79,$70.71
02/09/2024,$71.31,5434930,$71.16,$72.57,$70.76
02/08/2024,$70.17,4089138,$69.70,$71.0283,$68.65
02/07/2024,$69.60,4261163,$68.85,$70.45,$68.32
02/06/2024,$68.60,3469108,$68.03,$68.98,$67.77
02/05/2024,$67.50,4717355,$68.99,$69.36,$66.56
02/02/2024,$70.00,8032214,$68.49,$70.61,$67.33
02/01/2024,$67.21,5561264,$68.75,$69.66,$66.87
01/31/2024,$68.43,3113559,$67.91,$70.6705,$67.5568
01/30/2024,$69.28,3629535,$71.00,$71.52,$69.20
01/29/2024,$71.51,4079832,$68.39,$71.52,$68.245
01/26/2024,$68.01,3517123,$69.13,$69.61,$67.80
01/25/2024,$69.12,4156233,$70.87,$70.90,$68.29
01/24/2024,$69.65,3520401,$71.50,$72.15,$69.50
01/23/2024,$70.18,4002825,$70.19,$71.68,$69.46
01/22/2024,$69.39,4968852,$68.09,$70.85,$67.8999
01/19/2024,$66.85,4023976,$65.36,$67.01,$64.45
01/18/2024,$65.05,5002850,$65.77,$66.335,$63.625
01/17/2024,$64.50,6107077,$62.76,$64.54,$61.475
01/16/2024,$63.76,7784695,$66.27,$66.27,$63.45
01/12/2024,$66.96,6357683,$68.13,$69.16,$66.45
01/11/2024,$68.08,5622545,$68.595,$69.02,$66.97
01/10/2024,$68.48,5069967,$68.44,$69.08,$67.31
01/09/2024,$68.45,4344453,$68.33,$69.4338,$67.69
01/08/2024,$68.99,5640932,$67.89,$69.63,$67.17
01/05/2024,$67.64,4536854,$67.852,$68.95,$67.54
01/04/2024,$68.40,4219433,$68.75,$69.165,$68.07
01/03/2024,$69.32,3721933,$69.50,$70.0834,$68.23
01/02/2024,$70.59,4800623,$71.65,$71.65,$69.91
12/29/2023,$71.96,3768626,$73.30,$73.4805,$71.64
12/28/2023,$73.40,2571564,$73.79,$74.34,$73.22
12/27/2023,$74.08,2541145,$73.85,$74.49,$73.35
12/26/2023,$73.59,3697173,$73.68,$73.82,$72.27
12/22/2023,$73.43,7140741,$75.55,$75.6441,$72.79
12/21/2023,$76.38,2266088,$76.75,$77.49,$75.46
12/20/2023,$75.47,4329906,$77.39,$78.3399,$75.30
12/19/2023,$77.65,3330497,$75.80,$77.79,$75.80
12/18/2023,$75.63,3437023,$75.35,$76.055,$74.38
12/15/2023,$74.89,6464004,$76.83,$76.94,$74.36
12/14/2023,$76.08,5174193,$74.995,$77.32,$74.70
12/13/2023,$74.01,4131607,$71.60,$74.38,$71.19
12/12/2023,$71.35,3960722,$71.75,$71.81,$70.15
12/11/2023,$71.63,4116359,$71.02,$72.6944,$70.28
12/08/2023,$70.63,4209334,$68.18,$70.72,$68.02
12/07/2023,$68.78,2740029,$68.57,$69.25,$68.17
12/06/2023,$68.31,3203023,$69.23,$69.72,$68.28
12/05/2023,$68.33,3343271,$68.35,$69.2653,$67.83
12/04/2023,$68.76,6863276,$70.19,$70.7749,$67.35
12/01/2023,$71.60,5422712,$70.14,$71.91,$69.20
11/30/2023,$70.46,5980922,$70.90,$71.79,$69.43
11/29/2023,$70.37,4645821,$70.00,$72.34,$69.92
11/28/2023,$69.03,3845202,$68.72,$70.02,$68.47
11/27/2023,$69.19,5790055,$67.00,$70.11,$66.98
11/24/2023,$67.27,1933870,$66.66,$67.46,$66.40
11/22/2023,$66.83,4557383,$66.43,$67.56,$66.05
11/21/2023,$65.85,3681643,$66.83,$66.93,$65.53
11/20/2023,$67.29,4832953,$66.35,$67.98,$66.13
11/17/2023,$66.47,5551749,$66.48,$66.65,$64.77
11/16/2023,$66.30,4581262,$67.72,$68.0399,$65.92
11/15/2023,$68.05,6301289,$68.15,$69.2499,$66.60
11/14/2023,$67.63,10281710,$65.99,$68.38,$65.70
11/13/2023,$63.46,11521770,$64.15,$65.00,$61.74
11/10/2023,$64.01,42647590,$61.665,$65.60,$60.23
11/09/2023,$76.81,12310150,$79.70,$80.38,$76.47
11/08/2023,$78.84,3857452,$77.60,$78.89,$77.16
11/07/2023,$77.70,3074132,$78.21,$79.85,$77.00
11/06/2023,$77.47,3047760,$79.40,$79.77,$76.47
11/03/2023,$79.08,4709308,$76.64,$80.07,$76.4981
11/02/2023,$75.68,4675253,$75.00,$76.13,$74.34
11/01/2023,$70.76,3077998,$70.39,$71.34,$69.21
10/31/2023,$70.96,4152876,$68.22,$71.07,$68.17
10/30/2023,$67.95,3029041,$67.97,$68.22,$66.52
10/27/2023,$66.86,3958862,$67.17,$68.3393,$66.37
