Date,Close/Last,Volume,Open,High,Low
03/22/2024,$152.46,1181137,$152.67,$153.24,$151.72
03/21/2024,$152.17,2474768,$149.93,$153.23,$149.45
03/20/2024,$148.43,2396589,$145.46,$149.41,$145.12
03/19/2024,$145.20,1118657,$144.24,$145.45,$143.50
03/18/2024,$144.62,2237054,$143.96,$145.21,$143.43
03/15/2024,$143.91,3757643,$143.29,$144.67,$142.03
03/14/2024,$143.77,1526947,$143.76,$144.22,$141.45
03/13/2024,$144.89,1371044,$144.53,$146.69,$144.12
03/12/2024,$144.53,1757871,$145.13,$145.97,$143.74
03/11/2024,$145.87,2151500,$143.73,$147.53,$143.55
03/08/2024,$143.73,1385393,$144.79,$145.72,$142.64
03/07/2024,$145.01,1415202,$145.27,$145.565,$143.80
03/06/2024,$143.90,1210424,$145.95,$146.48,$143.35
03/05/2024,$143.94,2910395,$145.00,$145.00,$142.00
03/04/2024,$146.33,2803627,$150.34,$150.83,$146.315
03/01/2024,$150.34,2341562,$146.49,$150.76,$145.50
02/29/2024,$146.93,2287239,$147.83,$148.14,$145.61
02/28/2024,$147.48,1589086,$148.48,$148.50,$145.89
02/27/2024,$147.94,2173077,$150.00,$150.11,$147.0106
02/26/2024,$149.71,1340536,$151.25,$151.46,$149.53
02/23/2024,$151.01,1466965,$152.13,$153.06,$150.85
02/22/2024,$152.44,1397260,$153.09,$153.83,$151.76
02/21/2024,$151.11,1492966,$152.00,$152.44,$149.81
02/20/2024,$151.94,2076613,$153.03,$154.37,$150.48
02/16/2024,$153.38,1499680,$156.70,$157.24,$153.29
02/15/2024,$156.96,1283046,$155.72,$157.43,$155.21
02/14/2024,$155.72,1547152,$154.80,$155.98,$153.68
02/13/2024,$153.49,2385262,$154.48,$155.575,$151.6601
02/12/2024,$155.27,3436528,$154.83,$160.04,$154.00
02/09/2024,$154.91,6604144,$154.89,$158.11,$152.23
02/08/2024,$169.60,3063079,$170.61,$171.59,$168.32
02/07/2024,$169.57,1406004,$168.35,$169.68,$167.51
02/06/2024,$166.67,925069,$164.35,$166.72,$164.00
02/05/2024,$164.01,1530413,$165.72,$166.11,$163.70
02/02/2024,$167.00,1121089,$166.53,$168.25,$165.99
02/01/2024,$166.33,1105583,$164.57,$166.33,$162.44
01/31/2024,$164.93,1078907,$165.34,$166.85,$164.33
01/30/2024,$166.94,1280780,$166.48,$168.24,$165.68
01/29/2024,$168.02,1155400,$167.94,$168.22,$165.965
01/26/2024,$167.39,1123140,$168.50,$169.56,$167.30
01/25/2024,$168.50,1524323,$167.87,$168.52,$166.77
01/24/2024,$165.90,1050378,$166.12,$168.162,$164.8167
01/23/2024,$165.15,827096,$165.15,$165.78,$164.14
01/22/2024,$164.43,875533,$164.97,$165.54,$163.59
01/19/2024,$163.10,1504060,$160.89,$163.15,$159.78
01/18/2024,$159.86,1202792,$161.32,$162.23,$158.98
01/17/2024,$160.38,983635,$160.44,$160.94,$158.37
01/16/2024,$161.88,1265027,$161.25,$163.60,$160.25
01/12/2024,$161.68,945847,$161.87,$162.43,$160.715
01/11/2024,$161.54,1255743,$159.24,$161.80,$158.55
01/10/2024,$159.21,884346,$158.57,$160.02,$158.31
01/09/2024,$159.22,1067084,$158.82,$161.14,$158.45
01/08/2024,$158.54,880079,$158.27,$159.18,$156.66
01/05/2024,$158.21,1039093,$158.52,$159.79,$157.795
01/04/2024,$158.86,1238885,$157.96,$160.52,$157.815
01/03/2024,$158.40,1061438,$158.89,$159.18,$157.48
01/02/2024,$159.26,1506298,$160.14,$160.14,$157.99
12/29/2023,$160.95,916755,$161.50,$162.92,$160.72
12/28/2023,$161.47,784952,$160.99,$162.25,$160.40
12/27/2023,$160.99,937004,$161.59,$161.73,$160.50
12/26/2023,$161.62,763377,$162.00,$162.255,$161.16
12/22/2023,$161.95,1347553,$158.88,$162.90,$158.88
12/21/2023,$160.39,1069341,$159.28,$160.50,$158.74
12/20/2023,$157.96,1569336,$158.21,$160.445,$157.501
12/19/2023,$159.40,1324534,$158.64,$159.77,$157.75
12/18/2023,$158.57,1962581,$160.54,$161.45,$157.84
12/15/2023,$160.20,15610100,$163.68,$163.86,$159.25
12/14/2023,$163.89,3013448,$163.29,$164.85,$162.40
12/13/2023,$163.12,4475569,$161.14,$164.04,$160.84
12/12/2023,$157.20,2270635,$155.14,$157.34,$154.66
12/11/2023,$152.56,2478139,$154.41,$155.05,$152.10
12/08/2023,$155.32,2078756,$154.38,$156.7225,$154.08
12/07/2023,$154.21,2437241,$155.10,$155.85,$153.555
12/06/2023,$157.32,2544881,$157.50,$158.81,$156.545
12/05/2023,$156.76,3596960,$154.26,$157.98,$152.12
12/04/2023,$157.56,1878865,$157.35,$158.45,$154.50
12/01/2023,$157.84,1733670,$158.69,$161.605,$157.20
11/30/2023,$158.20,1508258,$157.17,$158.54,$156.50
11/29/2023,$157.01,1562460,$157.59,$158.84,$155.74
11/28/2023,$156.68,1324690,$156.27,$158.17,$156.27
11/27/2023,$156.27,1008479,$156.05,$157.58,$156.01
11/24/2023,$156.32,539167,$156.395,$156.54,$155.43
11/22/2023,$155.88,1118834,$156.40,$157.60,$155.81
11/21/2023,$155.74,885175,$155.82,$156.96,$154.665
11/20/2023,$155.88,1162306,$153.99,$156.54,$153.3354
11/17/2023,$154.39,1067327,$154.92,$155.55,$153.425
11/16/2023,$154.85,1405350,$153.95,$154.98,$152.78
11/15/2023,$153.94,1805725,$153.64,$155.805,$153.07
11/14/2023,$153.40,2315555,$153.09,$156.21,$152.5793
11/13/2023,$150.09,2829744,$147.65,$151.98,$147.28
11/10/2023,$147.88,2430484,$146.68,$149.07,$145.10
11/09/2023,$146.32,4612590,$148.63,$149.92,$144.26
11/08/2023,$143.47,8062433,$148.21,$148.64,$143.13
11/07/2023,$136.36,1881702,$135.68,$137.28,$135.00
11/06/2023,$134.37,1926710,$139.00,$139.171,$132.17
11/03/2023,$138.91,1386836,$137.60,$139.6725,$136.88
