Date,Close/Last,Volume,Open,High,Low
03/22/2024,$172.48,4177222,$171.73,$173.73,$171.26
03/21/2024,$172.59,4371638,$172.83,$174.79,$171.72
03/20/2024,$169.98,4404623,$167.08,$170.139,$166.27
03/19/2024,$166.76,5640195,$167.68,$168.31,$165.98
03/18/2024,$169.21,5213780,$174.54,$174.79,$169.06
03/15/2024,$172.52,19078800,$169.60,$173.025,$168.69
03/14/2024,$171.14,5028425,$173.31,$173.63,$169.80
03/13/2024,$172.68,5199464,$173.89,$174.29,$171.205
03/12/2024,$174.80,5802633,$175.99,$176.345,$173.23
03/11/2024,$174.19,4207280,$172.28,$174.28,$171.53
03/08/2024,$172.30,5632577,$175.46,$175.58,$172.27
03/07/2024,$175.27,5980433,$172.28,$177.75,$172.28
03/06/2024,$171.87,6312914,$173.11,$175.79,$170.68
03/05/2024,$170.64,6215628,$171.36,$172.715,$169.275
03/04/2024,$172.44,4401620,$172.50,$173.046,$170.86
03/01/2024,$171.05,5233691,$167.55,$172.09,$167.32
02/29/2024,$167.33,7267203,$164.90,$167.91,$164.28
02/28/2024,$163.04,2932981,$163.50,$163.88,$162.382
02/27/2024,$164.94,2886598,$164.58,$165.66,$164.25
02/26/2024,$164.30,5251308,$164.62,$165.505,$163.775
02/23/2024,$163.69,3479112,$165.83,$166.00,$163.63
02/22/2024,$165.43,5041241,$164.90,$166.12,$163.49
02/21/2024,$164.08,4533892,$162.52,$164.12,$161.50
02/20/2024,$162.74,5406180,$159.37,$162.91,$159.255
02/16/2024,$160.38,3167711,$160.35,$162.15,$159.43
02/15/2024,$160.71,3725291,$158.90,$161.27,$158.90
02/14/2024,$157.87,4527974,$157.85,$159.04,$156.575
02/13/2024,$156.85,5358099,$158.26,$159.42,$155.46
02/12/2024,$161.08,3853010,$162.40,$162.84,$161.05
02/09/2024,$162.40,3919501,$161.28,$162.48,$160.63
02/08/2024,$160.21,3487727,$159.31,$161.06,$158.78
02/07/2024,$158.77,4627927,$159.93,$160.29,$158.23
02/06/2024,$158.37,4140045,$159.17,$159.70,$157.33
02/05/2024,$158.90,4190141,$159.99,$159.99,$157.59
02/02/2024,$159.20,4922637,$158.38,$159.80,$157.77
02/01/2024,$159.69,6542100,$159.22,$159.87,$156.66
01/31/2024,$160.12,8665418,$160.41,$163.17,$159.32
01/30/2024,$162.05,4897565,$162.90,$163.78,$161.5409
01/29/2024,$166.04,6076587,$164.08,$166.32,$163.43
01/26/2024,$164.09,8800892,$166.20,$166.20,$163.28
