Date,Close/Last,Volume,Open,High,Low
03/22/2024,$234.86,1020465,$236.75,$237.345,$233.68
03/21/2024,$235.91,1261036,$236.60,$238.08,$235.345
03/20/2024,$236.40,719078,$237.36,$238.25,$235.50
03/19/2024,$237.44,741842,$235.55,$237.88,$235.53
03/18/2024,$235.73,1011288,$235.61,$238.11,$235.32
03/15/2024,$234.52,1611245,$231.98,$235.20,$231.98
03/14/2024,$232.85,992616,$237.66,$238.76,$232.19
03/13/2024,$236.26,778289,$237.05,$237.835,$235.55
03/12/2024,$238.08,610392,$236.12,$238.71,$236.12
03/11/2024,$237.48,727152,$236.72,$237.69,$233.70
03/08/2024,$236.53,765964,$236.71,$237.94,$235.60
03/07/2024,$236.14,1300789,$237.66,$238.48,$234.87
03/06/2024,$235.57,984207,$237.54,$238.13,$235.17
03/05/2024,$237.74,906082,$240.56,$241.15,$236.29
03/04/2024,$239.93,715568,$242.05,$243.49,$239.17
03/01/2024,$241.65,738636,$240.23,$242.04,$239.07
02/29/2024,$241.90,1238066,$242.73,$242.835,$239.98
02/28/2024,$242.00,658390,$242.61,$244.41,$241.29
02/27/2024,$242.92,532498,$242.29,$242.95,$241.33
02/26/2024,$243.11,679183,$244.87,$245.29,$243.04
02/23/2024,$244.83,688103,$240.74,$245.48,$240.74
02/22/2024,$240.01,1009248,$238.28,$241.365,$238.28
02/21/2024,$237.67,1876609,$244.50,$244.74,$234.895
02/20/2024,$248.51,1231868,$245.10,$249.21,$245.04
02/16/2024,$244.70,1399207,$247.38,$247.38,$244.16
02/15/2024,$246.65,666808,$247.19,$248.20,$245.01
02/14/2024,$246.14,988495,$244.54,$246.32,$243.44
02/13/2024,$244.93,738000,$247.21,$247.83,$243.635
02/12/2024,$247.13,575068,$249.25,$250.405,$246.915
02/09/2024,$250.61,722374,$250.05,$251.47,$248.14
02/08/2024,$249.26,641100,$250.01,$251.83,$248.37
02/07/2024,$250.66,803444,$249.55,$251.98,$248.10
02/06/2024,$248.47,518299,$247.50,$248.75,$246.77
02/05/2024,$246.60,557690,$247.29,$247.50,$242.53
02/02/2024,$247.78,549539,$246.57,$248.65,$244.75
02/01/2024,$246.62,935355,$242.48,$246.70,$240.36
01/31/2024,$241.53,1187310,$247.05,$247.71,$241.14
01/30/2024,$246.09,751914,$244.14,$246.94,$244.14
01/29/2024,$244.57,644664,$243.22,$244.94,$242.83
01/26/2024,$244.15,713668,$244.39,$244.88,$242.695
01/25/2024,$243.48,508085,$244.58,$245.3149,$241.16
01/24/2024,$244.65,546237,$245.00,$245.255,$243.19
01/23/2024,$243.84,673102,$243.01,$243.91,$241.85
01/22/2024,$243.46,639474,$241.23,$244.18,$240.06
01/19/2024,$240.12,803330,$237.83,$241.03,$237.40
01/18/2024,$237.55,667287,$236.29,$237.87,$234.64
01/17/2024,$236.67,681679,$236.05,$237.89,$232.72
01/16/2024,$237.03,1368197,$234.60,$237.11,$234.02
01/12/2024,$236.77,619063,$235.64,$236.875,$233.65
01/11/2024,$234.21,997895,$234.18,$235.16,$231.43
01/10/2024,$233.96,730612,$235.30,$236.17,$232.845
01/09/2024,$234.72,648712,$231.89,$235.20,$231.30
01/08/2024,$232.71,1139868,$232.95,$234.215,$229.53
01/05/2024,$233.70,832792,$237.95,$238.87,$232.84
01/04/2024,$237.95,707759,$237.52,$239.1291,$237.27
01/03/2024,$236.70,679505,$238.16,$239.195,$236.545
01/02/2024,$237.98,743720,$237.82,$239.27,$236.68
12/29/2023,$238.86,520657,$237.45,$239.20,$237.22
12/28/2023,$237.61,374431,$238.28,$238.69,$236.71
12/27/2023,$237.22,534369,$236.62,$237.68,$236.32
12/26/2023,$237.03,516460,$235.94,$238.11,$235.03
12/22/2023,$236.20,918772,$235.86,$237.045,$234.97
12/21/2023,$235.01,646345,$233.21,$235.41,$232.83
12/20/2023,$233.47,1058996,$233.77,$237.225,$233.30
12/19/2023,$234.455,1107430,$237.38,$238.095,$234.12
12/18/2023,$237.33,828966,$235.59,$238.84,$235.59
12/15/2023,$235.00,2637972,$235.51,$237.28,$233.06
12/14/2023,$235.43,1755172,$247.81,$248.545,$235.36
12/13/2023,$247.23,1037167,$244.15,$248.08,$243.08
