Date,Close/Last,Volume,Open,High,Low
03/22/2024,$415.66,821734,$417.75,$417.75,$412.19
03/21/2024,$415.71,895298,$415.61,$419.26,$414.00
03/20/2024,$412.11,796425,$414.33,$414.51,$409.0225
03/19/2024,$415.20,859933,$412.51,$415.70,$411.10
03/18/2024,$411.38,926467,$410.49,$415.50,$409.245
03/15/2024,$407.69,1905702,$410.10,$411.64,$406.97
03/14/2024,$408.77,1031358,$414.01,$414.98,$407.081
03/13/2024,$413.20,764712,$414.46,$415.92,$410.39
03/12/2024,$412.45,888995,$413.00,$416.11,$409.02
03/11/2024,$414.47,1263470,$414.00,$416.705,$409.52
03/08/2024,$413.59,814943,$412.34,$416.25,$410.945
03/07/2024,$410.54,923326,$415.145,$418.32,$410.23
03/06/2024,$411.85,1222513,$414.23,$418.22,$410.46
03/05/2024,$415.44,1124070,$424.87,$425.49,$414.0401
03/04/2024,$424.03,1121467,$432.73,$433.99,$422.16
03/01/2024,$432.76,1102273,$423.20,$433.67,$422.95
02/29/2024,$420.74,1849193,$429.18,$429.18,$420.24
02/28/2024,$426.97,786555,$429.60,$433.49,$425.71
02/27/2024,$430.92,917364,$434.13,$437.00,$430.52
02/26/2024,$433.48,787961,$425.70,$434.26,$425.70
02/23/2024,$430.11,749859,$430.00,$434.50,$429.07
02/22/2024,$426.78,1091862,$419.85,$429.805,$419.85
02/21/2024,$419.63,916847,$421.77,$424.00,$414.80
02/20/2024,$420.64,1056496,$420.79,$425.00,$416.16
02/16/2024,$422.20,1190380,$427.04,$427.04,$420.97
02/15/2024,$426.29,1473968,$419.16,$427.41,$418.61
02/14/2024,$417.88,1133192,$418.38,$420.45,$414.26
02/13/2024,$416.04,1163878,$417.36,$419.4154,$412.77
02/12/2024,$418.53,1368408,$420.24,$421.30,$415.28
02/09/2024,$422.91,1169486,$425.96,$425.96,$419.51
02/08/2024,$423.06,1407382,$420.28,$424.4761,$417.14
02/07/2024,$419.08,1989886,$416.74,$426.7241,$416.74
02/06/2024,$416.13,4503989,$428.76,$430.99,$410.80
02/05/2024,$428.89,1920031,$424.99,$430.93,$421.90
02/02/2024,$424.68,2181464,$430.00,$431.29,$424.31
02/01/2024,$433.87,1484716,$434.00,$435.91,$431.00
01/31/2024,$433.38,2755392,$441.57,$444.07,$430.12
01/30/2024,$446.08,3330077,$430.00,$448.40,$429.6889
01/29/2024,$435.82,1004169,$431.33,$436.11,$429.35
01/26/2024,$430.17,944509,$431.03,$432.19,$428.14
01/25/2024,$429.96,1230712,$428.06,$431.35,$427.06
01/24/2024,$427.56,1670882,$436.93,$437.3856,$424.34
01/23/2024,$439.70,779886,$440.01,$441.57,$436.31
01/22/2024,$440.11,1411437,$437.64,$443.82,$437.64
01/19/2024,$435.02,2586616,$433.52,$435.19,$429.68
01/18/2024,$432.98,1339239,$431.59,$434.88,$425.41
01/17/2024,$433.76,1407725,$437.50,$439.77,$432.18
01/16/2024,$437.49,1787149,$431.78,$438.03,$430.46
01/12/2024,$433.40,1183709,$432.49,$434.85,$431.1413
01/11/2024,$430.08,1593086,$422.72,$431.1013,$422.58
01/10/2024,$423.76,1192515,$419.89,$424.55,$418.5271
01/09/2024,$421.01,1106248,$418.69,$422.00,$415.635
01/08/2024,$419.12,1142395,$416.07,$419.28,$412.85
01/05/2024,$416.50,1000283,$415.01,$418.52,$414.415
01/04/2024,$416.15,1547401,$411.11,$418.71,$411.11
01/03/2024,$410.71,1026557,$412.43,$414.43,$408.055
01/02/2024,$410.91,1269594,$405.00,$412.26,$403.43
12/29/2023,$406.89,727543,$409.00,$409.615,$406.07
12/28/2023,$409.27,735650,$411.26,$412.57,$409.00
12/27/2023,$408.05,594117,$408.65,$409.00,$405.589
12/26/2023,$407.66,531660,$406.97,$408.515,$404.48
12/22/2023,$405.25,804290,$403.59,$406.91,$402.35
12/21/2023,$400.63,818269,$404.11,$404.301,$398.219
12/20/2023,$400.25,909556,$404.00,$405.99,$400.08
12/19/2023,$403.14,1595878,$399.70,$403.75,$395.01
12/18/2023,$404.65,1867348,$411.74,$413.00,$400.23
12/15/2023,$410.68,4074866,$408.16,$411.60,$400.51
12/14/2023,$406.60,3124912,$404.10,$406.855,$396.15
12/13/2023,$405.07,6222527,$373.50,$406.00,$372.7978
12/12/2023,$357.73,972386,$360.00,$361.80,$355.66
12/11/2023,$356.29,1255628,$352.58,$357.52,$351.4426
12/08/2023,$350.15,1394568,$354.00,$354.35,$348.46
12/07/2023,$353.95,865264,$353.46,$355.19,$349.285
12/06/2023,$353.46,1137711,$355.28,$356.33,$351.11
12/05/2023,$354.15,1113275,$350.06,$355.1553,$349.63
12/04/2023,$350.63,1469512,$349.00,$352.90,$347.51
12/01/2023,$351.16,1135104,$355.11,$356.71,$350.225
11/30/2023,$354.81,1636953,$352.79,$355.37,$350.19
11/29/2023,$351.00,1497318,$347.50,$353.60,$346.68
11/28/2023,$347.04,1154122,$350.32,$353.03,$346.285
11/27/2023,$350.19,1308575,$353.95,$354.45,$349.16
11/24/2023,$353.04,658708,$354.95,$355.41,$350.44
11/22/2023,$353.23,913465,$357.06,$358.50,$350.0269
11/21/2023,$354.78,1227065,$357.90,$358.205,$351.32
11/20/2023,$356.84,1520572,$349.76,$357.4099,$349.3201
11/17/2023,$350.50,2035393,$346.26,$351.62,$342.64
11/16/2023,$343.00,3094457,$350.72,$352.06,$341.90
11/15/2023,$349.34,3234868,$369.92,$370.07,$348.54
11/14/2023,$369.95,1578151,$380.82,$381.59,$369.33
11/13/2023,$378.92,957372,$373.16,$379.09,$371.75
11/10/2023,$373.65,1316049,$372.79,$375.88,$369.57
11/09/2023,$368.57,1207057,$377.33,$377.74,$367.0201
11/08/2023,$376.96,1276567,$380.78,$380.78,$371.77
11/07/2023,$378.25,1930351,$377.38,$385.48,$370.18
11/06/2023,$385.76,1998966,$379.27,$387.42,$379.27
11/03/2023,$376.20,1456926,$379.64,$381.00,$375.85
11/02/2023,$376.55,1138117,$370.23,$376.84,$367.73
11/01/2023,$369.33,1003561,$364.95,$370.7073,$363.22
10/31/2023,$362.11,987826,$355.92,$363.10,$353.13
10/30/2023,$357.45,872381,$357.15,$358.97,$355.58
10/27/2023,$355.28,910755,$360.61,$362.3085,$353.76
10/26/2023,$361.28,942228,$362.03,$365.66,$360.02
10/25/2023,$363.04,958005,$369.21,$370.00,$360.91
10/24/2023,$369.38,997357,$365.93,$371.02,$364.58
10/23/2023,$367.66,1566048,$363.25,$368.15,$360.465
10/20/2023,$361.86,1389443,$365.72,$367.48,$361.59
10/19/2023,$364.80,1514747,$367.55,$369.67,$361.7246
10/18/2023,$367.55,1516832,$372.43,$375.65,$366.68
10/17/2023,$373.50,1674504,$373.25,$375.93,$372.575
10/16/2023,$374.00,1767641,$372.12,$374.45,$371.05
10/13/2023,$371.00,1360686,$368.57,$372.78,$367.18
10/12/2023,$368.00,1303939,$366.37,$370.64,$365.53
10/11/2023,$365.25,1184670,$361.46,$365.27,$359.14
10/10/2023,$360.57,966601,$354.46,$362.40,$352.625
10/09/2023,$355.20,1429404,$361.22,$363.48,$353.62
