Date,Close/Last,Volume,Open,High,Low
03/22/2024,$277.50,1542724,$275.50,$279.25,$274.26
03/21/2024,$276.49,1648837,$278.30,$280.26,$275.53
03/20/2024,$276.41,1641465,$273.00,$277.15,$270.87
03/19/2024,$273.24,1370155,$271.68,$274.37,$269.01
03/18/2024,$272.60,1720836,$270.65,$273.34,$269.23
03/15/2024,$268.27,3321832,$269.30,$270.86,$266.80
03/14/2024,$272.04,1385579,$271.29,$272.50,$267.83
03/13/2024,$269.73,1656401,$272.91,$272.95,$269.03
03/12/2024,$271.21,2037909,$267.08,$272.61,$267.08
03/11/2024,$266.72,2233954,$263.94,$269.86,$263.12
03/08/2024,$264.32,2448286,$264.32,$269.19,$263.69
03/07/2024,$264.74,2671866,$266.80,$269.39,$264.50
03/06/2024,$266.93,2772148,$268.30,$270.95,$263.58
03/05/2024,$266.74,4729983,$270.74,$270.90,$262.56
03/04/2024,$273.02,8220778,$279.00,$279.36,$272.28
03/01/2024,$291.92,4102045,$295.88,$296.44,$289.25
02/29/2024,$294.66,3206470,$296.89,$298.50,$290.48
02/28/2024,$295.16,2120002,$294.21,$295.915,$289.7862
02/27/2024,$295.05,5858401,$292.59,$304.7899,$292.57
02/26/2024,$307.21,4568022,$308.00,$311.28,$306.595
02/23/2024,$305.88,1463590,$309.10,$309.855,$304.43
02/22/2024,$306.62,1778938,$308.58,$308.98,$303.56
02/21/2024,$298.96,1225160,$299.55,$299.55,$294.675
02/20/2024,$301.98,1594952,$303.00,$304.83,$297.43
02/16/2024,$302.67,1406975,$306.57,$306.57,$302.14
02/15/2024,$305.09,1752284,$304.54,$306.25,$301.39
02/14/2024,$302.24,1475910,$299.41,$303.7675,$298.39
02/13/2024,$296.75,1616631,$292.21,$301.47,$290.305
02/12/2024,$299.09,1296173,$301.76,$304.17,$298.17
02/09/2024,$304.89,1891954,$300.00,$308.95,$299.17
02/08/2024,$298.65,1086622,$295.56,$299.465,$293.445
02/07/2024,$294.42,1208127,$291.34,$295.99,$289.00
02/06/2024,$288.63,1186515,$293.00,$293.00,$284.6329
02/05/2024,$291.73,1063683,$294.58,$294.79,$288.84
02/02/2024,$294.74,1348352,$292.88,$295.39,$292.22
02/01/2024,$294.00,767785,$292.70,$295.255,$291.10
01/31/2024,$291.07,1244502,$292.69,$294.38,$288.76
01/30/2024,$294.86,766884,$295.42,$297.635,$294.50
01/29/2024,$296.73,1296516,$288.63,$296.82,$288.63
01/26/2024,$288.63,1296473,$292.36,$292.67,$288.55
01/25/2024,$292.36,1189357,$297.92,$298.00,$290.59
01/24/2024,$295.50,1486013,$293.00,$297.438,$291.34
01/23/2024,$291.32,767884,$289.98,$291.43,$286.76
01/22/2024,$289.88,926847,$291.67,$293.71,$289.6401
