Date,Close/Last,Volume,Open,High,Low
03/22/2024,$52.27,3312618,$52.50,$52.71,$52.04
03/21/2024,$52.30,3854120,$52.72,$53.13,$52.28
03/20/2024,$52.58,4547253,$52.14,$52.725,$52.03
03/19/2024,$52.43,5656951,$51.95,$52.985,$51.95
03/18/2024,$52.04,7217688,$51.65,$52.415,$51.37
03/15/2024,$51.99,11161030,$51.76,$52.235,$51.5694
03/14/2024,$51.88,11860000,$50.78,$51.90,$50.7592
03/13/2024,$51.50,5420040,$52.06,$52.45,$51.42
03/12/2024,$51.90,8809681,$52.63,$53.00,$51.64
03/11/2024,$52.91,9838055,$52.77,$53.30,$52.125
03/08/2024,$51.02,8848743,$50.08,$51.40,$49.89
03/07/2024,$50.04,17186850,$48.97,$50.79,$48.69
03/06/2024,$48.44,14401880,$49.28,$50.02,$46.79
03/05/2024,$48.65,12549190,$51.14,$51.63,$48.305
03/04/2024,$51.06,10184440,$49.04,$51.21,$48.52
03/01/2024,$49.57,18786260,$51.66,$51.66,$48.98
02/29/2024,$52.69,22782210,$57.35,$57.39,$52.10
02/28/2024,$57.67,6761904,$58.19,$58.245,$57.495
02/27/2024,$58.28,5752645,$58.14,$58.59,$58.01
02/26/2024,$58.05,2418853,$59.27,$59.27,$58.02
02/23/2024,$59.33,2415408,$59.30,$60.03,$59.09
02/22/2024,$59.33,3251218,$59.19,$59.51,$58.55
02/21/2024,$59.81,3579235,$59.73,$60.17,$59.38
02/20/2024,$59.19,2895128,$59.11,$59.845,$58.95
02/16/2024,$59.07,2476070,$59.00,$59.27,$58.565
02/15/2024,$59.01,3571439,$58.88,$59.666,$58.75
02/14/2024,$58.68,3965918,$58.28,$58.76,$57.82
02/13/2024,$58.28,3253433,$58.98,$59.20,$57.23
02/12/2024,$58.97,2691147,$58.20,$59.10,$58.02
02/09/2024,$58.17,2732759,$57.90,$58.20,$57.67
02/08/2024,$58.00,2570853,$58.23,$58.23,$57.405
02/07/2024,$58.37,2621191,$58.72,$58.73,$58.14
02/06/2024,$58.44,2918511,$58.39,$58.785,$58.18
02/05/2024,$58.52,3177022,$59.06,$59.29,$58.455
02/02/2024,$59.82,3901771,$60.67,$60.68,$59.26
02/01/2024,$61.14,5303174,$59.66,$61.15,$59.12
01/31/2024,$59.87,13842810,$60.21,$60.67,$59.34
01/30/2024,$59.76,3782944,$59.51,$60.18,$59.075
01/29/2024,$59.66,4798769,$59.52,$60.115,$59.2946
01/26/2024,$59.39,4038883,$58.90,$59.605,$58.90
01/25/2024,$58.89,6469987,$59.00,$59.26,$57.7283
01/24/2024,$58.22,6092698,$59.52,$59.76,$58.13
01/23/2024,$59.19,4648414,$59.01,$59.35,$58.75
01/22/2024,$58.93,3858678,$59.58,$59.9381,$58.655
01/19/2024,$59.48,3582365,$59.67,$59.91,$59.18
01/18/2024,$59.65,4447824,$59.73,$59.99,$59.29
01/17/2024,$60.09,4019628,$60.41,$61.00,$59.685
01/16/2024,$60.91,4354416,$61.15,$61.345,$60.62
01/12/2024,$61.31,2753662,$61.35,$61.655,$61.055
01/11/2024,$61.00,3825893,$62.23,$62.34,$60.94
01/10/2024,$62.72,3341237,$63.21,$63.22,$62.4501
01/09/2024,$63.27,3510854,$63.47,$63.47,$62.94
01/08/2024,$63.58,3739019,$63.65,$63.695,$63.205
01/05/2024,$63.73,3531014,$63.53,$63.96,$63.07
01/04/2024,$63.73,3129383,$63.62,$64.245,$63.22
01/03/2024,$63.58,4538619,$63.74,$63.93,$63.12
01/02/2024,$63.47,4627632,$61.83,$63.50,$61.71
12/29/2023,$61.91,2813294,$61.69,$61.95,$61.42
12/28/2023,$61.89,2421925,$61.52,$62.015,$61.41
12/27/2023,$61.54,2865927,$61.73,$61.80,$61.37
12/26/2023,$62.25,2147501,$61.98,$62.51,$61.97
12/22/2023,$62.06,2429409,$61.98,$62.43,$61.81
12/21/2023,$61.53,2807677,$61.31,$61.875,$61.00
12/20/2023,$61.31,4264488,$62.21,$62.45,$61.31
12/19/2023,$62.12,6398808,$62.57,$62.60,$61.58
12/18/2023,$62.35,6632184,$61.87,$62.57,$61.56
12/15/2023,$61.58,10786570,$62.32,$62.36,$61.17
12/14/2023,$62.57,7975226,$63.71,$63.87,$62.40
12/13/2023,$63.33,6787195,$61.24,$63.33,$60.82
12/12/2023,$61.16,3289916,$61.79,$61.81,$60.95
12/11/2023,$61.55,4332546,$60.96,$61.61,$60.51
12/08/2023,$60.91,4343741,$61.41,$61.59,$60.42
12/07/2023,$61.55,3749574,$62.03,$62.28,$61.46
12/06/2023,$61.97,3779834,$61.24,$61.99,$61.00
12/05/2023,$61.03,3110402,$61.62,$61.71,$60.86
12/04/2023,$61.47,3606894,$61.05,$61.79,$60.84
12/01/2023,$61.43,2918601,$60.94,$61.485,$60.52
11/30/2023,$60.84,4797083,$60.15,$60.93,$59.94
11/29/2023,$60.00,4314036,$61.04,$61.15,$59.8025
11/28/2023,$60.97,3667134,$60.59,$61.44,$60.33
11/27/2023,$60.45,2834511,$60.58,$60.76,$59.87
11/24/2023,$60.52,1357714,$60.57,$60.59,$60.04
11/22/2023,$60.43,4060368,$60.22,$60.47,$59.77
11/21/2023,$60.02,4139425,$60.24,$60.30,$59.58
11/20/2023,$60.06,6312097,$60.23,$60.25,$59.28
11/17/2023,$60.56,4327899,$61.01,$61.01,$60.34
11/16/2023,$60.70,3970758,$60.71,$60.975,$60.25
11/15/2023,$60.09,3439464,$60.19,$60.76,$59.87
11/14/2023,$60.30,4249996,$59.11,$60.50,$59.06
11/13/2023,$58.27,2960520,$59.00,$59.31,$58.12
11/10/2023,$59.20,2912085,$58.94,$59.26,$58.63
11/09/2023,$58.70,3871713,$59.03,$59.39,$58.52
11/08/2023,$59.08,3953319,$59.59,$59.685,$58.51
11/07/2023,$59.83,3515267,$60.71,$60.71,$59.70
11/06/2023,$60.56,3139679,$61.08,$61.225,$60.47
11/03/2023,$61.03,3920644,$61.93,$62.02,$61.01
11/02/2023,$61.07,3961331,$60.51,$61.57,$60.39
11/01/2023,$60.54,5029555,$59.25,$60.825,$58.80
10/31/2023,$59.27,3832317,$59.01,$59.40,$58.62
10/30/2023,$58.74,3818363,$58.77,$59.085,$58.10
10/27/2023,$58.31,4310657,$59.00,$59.96,$58.095
10/26/2023,$59.77,3468075,$59.63,$60.555,$59.565
10/25/2023,$59.47,3133135,$59.04,$59.6744,$58.79
10/24/2023,$59.08,3854024,$58.39,$59.31,$58.38
10/23/2023,$58.05,4854204,$57.86,$58.62,$57.11
10/20/2023,$58.10,4224753,$59.02,$59.41,$58.035
10/19/2023,$59.05,4442349,$59.27,$59.96,$59.01
10/18/2023,$59.33,3830795,$59.56,$59.88,$58.80
10/17/2023,$59.51,3778772,$59.22,$59.77,$58.87
10/16/2023,$59.56,3184749,$59.18,$59.935,$58.62
10/13/2023,$58.86,3732804,$58.51,$59.35,$58.32
10/12/2023,$58.15,4775605,$58.50,$58.78,$57.77
10/11/2023,$58.81,3116447,$58.41,$58.89,$57.935
10/10/2023,$58.06,3117921,$57.53,$58.165,$57.405
10/09/2023,$57.65,2702071,$57.27,$57.735,$57.03
10/06/2023,$57.35,6337243,$56.29,$57.675,$55.64
10/05/2023,$56.48,3835402,$56.63,$56.73,$55.81
10/04/2023,$56.63,3948650,$55.90,$56.69,$55.38
10/03/2023,$55.84,5161429,$54.42,$56.035,$53.73
10/02/2023,$55.03,4875510,$57.09,$57.09,$54.565
09/29/2023,$57.22,4079177,$57.42,$57.785,$56.79
09/28/2023,$56.87,4362276,$57.43,$57.60,$56.08
09/27/2023,$57.21,4481208,$57.59,$57.71,$56.785
09/26/2023,$57.72,6275456,$59.48,$59.48,$57.405
09/25/2023,$59.49,3617792,$59.23,$59.56,$58.6188
09/22/2023,$59.73,4904301,$59.11,$60.195,$59.015
09/21/2023,$59.38,4904879,$60.00,$60.30,$59.33
09/20/2023,$59.96,7670612,$58.90,$60.225,$58.54
09/19/2023,$58.52,7855967,$57.99,$58.805,$57.80
09/18/2023,$57.99,4445305,$57.95,$58.26,$57.62
09/15/2023,$57.97,9226008,$58.58,$58.985,$57.91
09/14/2023,$58.68,5419631,$57.90,$58.75,$57.88
09/13/2023,$58.13,6005967,$57.28,$58.38,$57.25
09/12/2023,$57.21,4702373,$57.36,$57.505,$56.97
09/11/2023,$57.43,5586324,$57.08,$57.645,$57.00
09/08/2023,$57.07,3627772,$56.70,$57.17,$56.51
09/07/2023,$56.60,3554879,$56.79,$57.125,$56.34
09/06/2023,$56.34,3815401,$55.79,$56.36,$55.52
09/05/2023,$55.59,4170442,$56.50,$56.52,$55.1146
09/01/2023,$56.51,2848060,$57.49,$57.525,$56.075
08/31/2023,$57.13,3983710,$57.96,$58.08,$57.11
08/30/2023,$57.68,2583657,$57.88,$58.24,$57.415
08/29/2023,$57.95,4614938,$57.78,$58.34,$57.51
08/28/2023,$57.85,3982152,$57.86,$58.15,$57.65
08/25/2023,$57.58,7705582,$57.09,$57.84,$56.99
08/24/2023,$57.01,5780927,$57.55,$58.06,$56.6804
08/23/2023,$57.52,8610717,$58.01,$58.05,$56.87
08/22/2023,$57.95,3142640,$57.37,$58.09,$57.235
08/21/2023,$57.96,3132218,$58.13,$58.35,$57.23
08/18/2023,$58.19,3636998,$58.30,$58.66,$58.08
08/17/2023,$58.17,4337459,$58.47,$58.89,$58.05
08/16/2023,$58.43,3099256,$58.27,$58.695,$58.25
08/15/2023,$58.12,3003997,$58.99,$58.99,$58.055
08/14/2023,$59.24,3166140,$59.73,$59.75,$58.72
08/11/2023,$59.70,2921976,$59.65,$59.93,$59.39
08/10/2023,$59.50,2535745,$60.17,$60.34,$59.29
08/09/2023,$59.69,3892793,$59.61,$60.3201,$59.475
08/08/2023,$59.64,3831650,$59.75,$59.80,$58.93
08/07/2023,$59.76,4222203,$60.52,$60.67,$59.71
08/04/2023,$60.39,3406541,$61.27,$62.01,$60.195
08/03/2023,$61.32,4053184,$62.61,$62.775,$61.16
08/02/2023,$62.88,3139850,$62.78,$63.24,$62.53
08/01/2023,$62.85,3826793,$62.73,$63.21,$62.50
07/31/2023,$62.73,3600603,$62.98,$63.30,$62.425
07/28/2023,$62.89,4227331,$63.10,$63.845,$62.745
07/27/2023,$62.87,4046286,$64.61,$64.77,$62.54
