Date,Close/Last,Volume,Open,High,Low
03/22/2024,$194.95,1633209,$197.50,$199.00,$193.27
03/21/2024,$198.07,1701914,$199.55,$202.61,$196.43
03/20/2024,$197.30,1696840,$196.26,$197.885,$193.85
03/19/2024,$195.24,2085164,$193.44,$196.00,$190.35
03/18/2024,$195.94,2590984,$194.00,$197.3528,$191.25
03/15/2024,$194.03,2665872,$198.79,$199.73,$193.47
03/14/2024,$198.83,1220701,$201.43,$202.13,$197.1601
03/13/2024,$201.43,1753246,$200.17,$204.43,$199.11
03/12/2024,$201.24,2305015,$203.20,$205.34,$199.00
03/11/2024,$200.74,1825934,$196.70,$201.85,$195.6609
03/08/2024,$198.69,2845050,$201.14,$204.55,$197.88
03/07/2024,$201.27,3349436,$202.58,$202.89,$197.02
03/06/2024,$202.42,4348080,$214.62,$217.17,$200.81
03/05/2024,$206.36,5002061,$209.94,$210.055,$199.29
03/04/2024,$214.22,4141461,$220.12,$221.62,$212.6301
03/01/2024,$219.23,11834150,$227.00,$227.30,$215.00
02/29/2024,$241.97,6757330,$240.50,$243.9399,$235.841
02/28/2024,$237.29,2010438,$240.10,$242.47,$236.50
02/27/2024,$242.49,2401816,$244.00,$251.55,$242.02
02/26/2024,$241.70,2728832,$239.99,$246.00,$236.915
02/23/2024,$235.23,3217339,$229.88,$240.70,$228.32
02/22/2024,$226.15,3659863,$224.51,$229.34,$218.91
02/21/2024,$213.92,7815800,$213.00,$216.505,$202.44
02/20/2024,$249.04,2061332,$251.94,$251.94,$240.96
02/16/2024,$252.75,1258398,$253.41,$254.68,$248.61
02/15/2024,$253.16,1185267,$255.00,$255.00,$247.00
02/14/2024,$253.27,1586646,$247.66,$253.54,$246.10
02/13/2024,$242.80,3434414,$242.33,$247.67,$237.57
02/12/2024,$253.86,1511889,$253.70,$256.42,$251.28
02/09/2024,$254.93,2505468,$253.84,$259.61,$252.40
02/08/2024,$249.41,1669719,$244.64,$251.32,$243.77
02/07/2024,$244.66,2234547,$241.63,$245.5599,$237.09
02/06/2024,$234.73,1660841,$235.25,$236.32,$228.5201
02/05/2024,$232.05,4761881,$233.45,$239.45,$226.19
02/02/2024,$244.00,1362007,$239.62,$245.11,$237.0625
02/01/2024,$238.06,1033534,$236.61,$240.36,$235.42
01/31/2024,$235.67,1568782,$238.00,$239.585,$232.31
01/30/2024,$241.12,2037795,$243.41,$245.82,$240.90
01/29/2024,$245.05,1377876,$238.69,$245.11,$238.02
01/26/2024,$236.83,1204826,$236.88,$239.84,$234.29
01/25/2024,$238.30,1477928,$244.70,$245.00,$236.84
01/24/2024,$241.38,1554104,$245.00,$246.38,$240.67
01/23/2024,$242.59,1974421,$242.52,$244.995,$238.95
01/22/2024,$240.85,2513522,$239.68,$241.77,$235.08
01/19/2024,$231.29,1545367,$229.00,$231.36,$226.8383
01/18/2024,$227.91,1909769,$230.31,$231.37,$224.93
01/17/2024,$225.33,2349583,$228.90,$230.33,$221.50
01/16/2024,$232.18,1517363,$230.00,$233.28,$228.7801
01/12/2024,$230.77,1564909,$230.98,$233.8092,$229.63
01/11/2024,$228.52,1397112,$226.00,$229.91,$224.00
01/10/2024,$225.40,1880239,$228.31,$230.2341,$224.66
01/09/2024,$226.26,2445756,$215.96,$228.15,$215.96
01/08/2024,$218.10,1633190,$213.28,$219.35,$212.51
01/05/2024,$209.81,1125491,$209.94,$212.1999,$209.0527
01/04/2024,$210.33,1096374,$210.33,$212.45,$209.01
01/03/2024,$210.24,2095604,$208.53,$215.7047,$206.67
01/02/2024,$212.37,2083549,$218.10,$218.17,$210.615
12/29/2023,$221.56,805200,$224.03,$225.91,$220.87
12/28/2023,$224.44,575283,$225.02,$225.2696,$222.91
12/27/2023,$225.02,840757,$225.16,$227.29,$224.00
12/26/2023,$224.59,770000,$222.225,$224.69,$221.46
12/22/2023,$221.68,913341,$221.67,$222.07,$219.3685
12/21/2023,$221.33,1250536,$221.68,$221.88,$218.0422
12/20/2023,$218.73,1582724,$222.55,$224.6188,$217.74
12/19/2023,$224.04,1544285,$221.49,$224.95,$221.01
12/18/2023,$222.55,2488049,$221.66,$224.09,$219.60
12/15/2023,$221.66,3354638,$219.41,$223.53,$218.44
12/14/2023,$216.40,3111888,$218.75,$221.13,$213.4001
12/13/2023,$215.45,2375360,$212.34,$216.035,$210.0501
12/12/2023,$210.76,2304521,$207.00,$211.59,$205.10
12/11/2023,$205.47,2314315,$200.38,$207.51,$200.0646
12/08/2023,$198.80,2034754,$198.00,$202.73,$197.59
12/07/2023,$200.05,1313459,$197.91,$200.56,$195.703
12/06/2023,$197.91,2149230,$200.00,$203.89,$197.48
12/05/2023,$198.91,1526113,$196.17,$199.21,$194.2874
12/04/2023,$198.26,1599769,$196.96,$198.96,$193.19
12/01/2023,$198.03,2475115,$197.89,$198.99,$194.75
11/30/2023,$197.53,3350444,$200.63,$205.689,$195.71
11/29/2023,$199.84,6120264,$197.27,$207.7808,$196.80
11/28/2023,$193.85,11013440,$183.75,$194.11,$182.60
11/27/2023,$191.91,6317810,$191.99,$195.07,$190.43
11/24/2023,$193.09,975392,$189.89,$194.25,$188.56
11/22/2023,$190.64,1411386,$193.03,$193.07,$189.18
11/21/2023,$191.36,1323836,$190.17,$191.90,$188.88
11/20/2023,$191.96,1569978,$188.87,$193.49,$188.87
11/17/2023,$187.47,1294160,$186.03,$189.71,$185.52
11/16/2023,$186.18,1701336,$183.72,$189.30,$183.14
11/15/2023,$184.56,1953961,$188.00,$189.5391,$183.4647
11/14/2023,$187.09,2469699,$181.75,$188.5099,$181.62
11/13/2023,$178.17,1467544,$175.63,$178.94,$175.05
11/10/2023,$175.04,1910820,$170.65,$175.08,$168.40
11/09/2023,$170.70,1431923,$174.77,$176.16,$170.4054
11/08/2023,$173.96,1690871,$172.00,$176.46,$171.88
11/07/2023,$171.39,1969877,$166.68,$172.80,$164.46
11/06/2023,$163.47,1481225,$166.60,$167.06,$159.80
11/03/2023,$164.37,2640773,$158.44,$166.09,$155.51
11/02/2023,$159.19,1426673,$160.00,$161.8473,$157.5301
11/01/2023,$156.65,1522281,$159.60,$159.90,$152.60
10/31/2023,$158.69,769569,$157.39,$159.225,$155.37
