Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.764000,0.728000,0.728000,0.459112,378125
1980-03-18,0.000000,0.728000,0.708000,0.720000,0.454067,215625
1980-03-19,0.000000,0.736000,0.720000,0.720000,0.454067,153125
1980-03-20,0.000000,0.728000,0.720000,0.720000,0.454067,43750
1980-03-21,0.000000,0.720000,0.688000,0.688000,0.433886,556250
1980-03-24,0.000000,0.692000,0.632000,0.640000,0.403615,384375
1980-03-25,0.000000,0.624000,0.592000,0.616000,0.388479,325000
1980-03-26,0.000000,0.640000,0.620000,0.640000,0.403615,100000
1980-03-27,0.000000,0.624000,0.596000,0.604000,0.380911,512500
1980-03-28,0.000000,0.640000,0.616000,0.640000,0.403615,246875
1980-03-31,0.000000,0.640000,0.628000,0.640000,0.403615,62500
1980-04-01,0.000000,0.648000,0.640000,0.640000,0.403615,50000
1980-04-02,0.000000,0.664000,0.640000,0.656000,0.413705,128125
1980-04-03,0.000000,0.664000,0.648000,0.648000,0.408660,128125
1980-04-07,0.000000,0.644000,0.620000,0.620000,0.391002,265625
1980-04-08,0.000000,0.632000,0.616000,0.632000,0.398570,96875
1980-04-09,0.000000,0.644000,0.636000,0.640000,0.403615,50000
1980-04-10,0.000000,0.656000,0.640000,0.656000,0.413705,53125
1980-04-11,0.000000,0.656000,0.644000,0.652000,0.411183,243750
1980-04-14,0.000000,0.644000,0.632000,0.632000,0.398570,162500
1980-04-15,0.000000,0.640000,0.624000,0.624000,0.393524,37500
1980-04-16,0.000000,0.645000,0.625000,0.630000,0.397308,142500
1980-04-17,0.000000,0.625000,0.610000,0.620000,0.391002,182500
1980-04-18,0.000000,0.630000,0.605000,0.605000,0.381542,397500
1980-04-21,0.000000,0.615000,0.605000,0.605000,0.381542,25000
1980-04-22,0.000000,0.645000,0.610000,0.645000,0.406768,390000
1980-04-23,0.000000,0.655000,0.640000,0.655000,0.413075,505000
1980-04-24,0.000000,0.655000,0.640000,0.645000,0.406768,232500
1980-04-25,0.000000,0.650000,0.640000,0.650000,0.409921,147500
1980-04-28,0.000000,0.665000,0.650000,0.660000,0.416228,167500
1980-04-29,0.000000,0.665000,0.655000,0.655000,0.413075,35000
1980-04-30,0.000000,0.665000,0.650000,0.660000,0.416228,102500
1980-05-01,0.000000,0.660000,0.650000,0.650000,0.409921,217500
1980-05-02,0.000000,0.655000,0.640000,0.645000,0.406768,222500
1980-05-05,0.000000,0.650000,0.635000,0.650000,0.409921,267500
1980-05-06,0.000000,0.645000,0.640000,0.640000,0.403615,87500
1980-05-07,0.000000,0.640000,0.625000,0.640000,0.403615,137500
1980-05-08,0.000000,0.640000,0.630000,0.635000,0.400462,110000
1980-05-09,0.000000,0.645000,0.625000,0.625000,0.394155,65000
1980-05-12,0.000000,0.660000,0.635000,0.650000,0.409921,180000
1980-05-13,0.000000,0.660000,0.645000,0.660000,0.416228,75000
1980-05-14,0.000000,0.680000,0.650000,0.680000,0.428841,407500
1980-05-15,0.000000,0.685000,0.675000,0.680000,0.428841,145000
1980-05-16,0.000000,0.690000,0.675000,0.690000,0.435147,147500
1980-05-19,0.000000,0.720000,0.695000,0.715000,0.450913,320000
1980-05-20,0.000000,0.780000,0.710000,0.780000,0.491905,400000
1980-05-21,0.000000,0.780000,0.755000,0.765000,0.482446,295000
1980-05-22,0.000000,0.765000,0.750000,0.750000,0.472986,155000
1980-05-23,0.000000,0.785000,0.755000,0.760000,0.479293,142500
1980-05-27,0.000000,0.790000,0.770000,0.770000,0.485599,195000
1980-05-28,0.000000,0.785000,0.770000,0.780000,0.491905,142500
1980-05-29,0.000000,0.795000,0.775000,0.780000,0.491905,262500
