Date,Open,High,Low,Close,Adj Close,Volume
1994-10-31,6.937500,7.020833,6.937500,7.020833,2.576888,228000
1994-11-01,7.000000,7.000000,6.979167,7.000000,2.569242,64200
1994-11-02,7.000000,7.020833,6.979167,7.000000,2.569242,123000
1994-11-03,7.000000,7.020833,6.979167,6.979167,2.561594,111600
1994-11-04,6.979167,6.979167,6.895833,6.895833,2.531009,283200
1994-11-07,6.895833,6.937500,6.833333,6.875000,2.523362,427800
1994-11-08,6.875000,6.958333,6.875000,6.958333,2.553947,282000
1994-11-09,6.958333,7.000000,6.916667,6.916667,2.538655,123600
1994-11-10,6.958333,7.000000,6.958333,6.979167,2.561594,33000
1994-11-11,6.916667,6.916667,6.875000,6.895833,2.531009,21000
1994-11-14,6.895833,6.916667,6.812500,6.833333,2.508069,192000
1994-11-15,6.854167,6.895833,6.812500,6.812500,2.500422,116400
1994-11-16,6.812500,6.812500,6.750000,6.750000,2.477482,186600
1994-11-17,6.729167,6.729167,6.666667,6.708333,2.462190,346200
1994-11-18,6.729167,6.729167,6.687500,6.708333,2.462190,16800
1994-11-21,6.687500,6.708333,6.645833,6.645833,2.439251,66000
1994-11-22,6.687500,6.687500,6.645833,6.645833,2.439251,74400
1994-11-23,6.645833,6.645833,6.562500,6.562500,2.408663,159600
1994-11-25,6.583333,6.604167,6.583333,6.604167,2.423957,8400
1994-11-28,6.625000,6.625000,6.583333,6.583333,2.416310,21600
1994-11-29,6.625000,6.625000,6.625000,6.625000,2.431604,13800
1994-11-30,6.583333,6.604167,6.562500,6.583333,2.416310,243000
1994-12-01,6.562500,6.562500,6.520833,6.520833,2.393371,75000
1994-12-02,6.520833,6.520833,6.458333,6.458333,2.370430,9000
1994-12-05,6.479167,6.489583,6.458333,6.458333,2.370430,249000
1994-12-06,6.479167,6.479167,6.458333,6.479167,2.378078,94800
1994-12-07,6.458333,6.546875,6.458333,6.500000,2.385724,339600
1994-12-08,6.583333,6.666667,6.583333,6.583333,2.416310,240000
1994-12-09,6.583333,6.604167,6.583333,6.583333,2.416310,12600
1994-12-12,6.583333,6.583333,6.458333,6.541667,2.401017,141600
1994-12-13,6.541667,6.541667,6.520833,6.520833,2.393371,72000
1994-12-14,6.583333,6.625000,6.583333,6.625000,2.431604,306600
1994-12-15,6.666667,6.687500,6.645833,6.645833,2.439251,71400
1994-12-16,6.708333,6.812500,6.708333,6.770833,2.485130,118200
1994-12-19,6.854167,6.854167,6.812500,6.833333,2.508069,384000
1994-12-20,6.812500,6.937500,6.812500,6.916667,2.538655,121800
1994-12-21,6.937500,7.000000,6.937500,6.937500,2.546302,83400
1994-12-22,6.916667,6.916667,6.854167,6.854167,2.515715,250800
1994-12-23,6.833333,6.833333,6.791667,6.833333,2.508069,11400
1994-12-27,6.812500,6.812500,6.791667,6.791667,2.492776,211800
1994-12-28,6.791667,6.791667,6.770833,6.791667,2.492776,40200
1994-12-29,6.812500,6.812500,6.791667,6.812500,2.500422,5400
1994-12-30,6.812500,6.854167,6.812500,6.854167,2.515715,223200
1995-01-03,6.833333,6.833333,6.812500,6.833333,2.508069,9000
1995-01-04,6.770833,6.833333,6.770833,6.770833,2.485130,689400
1995-01-05,6.770833,6.770833,6.708333,6.708333,2.462190,25800
1995-01-06,6.708333,6.729167,6.708333,6.708333,2.462190,168600
1995-01-09,6.770833,6.833333,6.770833,6.833333,2.508069,193800
1995-01-10,6.833333,6.875000,6.833333,6.833333,2.508069,10800
1995-01-11,6.895833,6.895833,6.833333,6.854167,2.515715,7800
1995-01-12,6.854167,6.916667,6.854167,6.895833,2.531009,28200
1995-01-13,6.895833,6.937500,6.895833,6.937500,2.546302,29400
1995-01-16,6.958333,7.000000,6.958333,6.958333,2.553947,531600
1995-01-17,6.937500,6.937500,6.895833,6.916667,2.538655,66000
1995-01-18,7.000000,7.000000,6.979167,6.979167,2.561594,133800
1995-01-19,7.020833,7.062500,7.000000,7.041667,2.584535,346200
1995-01-20,7.083333,7.104167,7.083333,7.083333,2.599828,10200
1995-01-23,7.250000,7.291667,7.166667,7.250000,2.661001,594600
1995-01-24,7.083333,7.083333,7.041667,7.041667,2.584535,13200
1995-01-25,7.020833,7.020833,6.958333,7.000000,2.569242,46800
1995-01-26,7.000000,7.041667,7.000000,7.000000,2.569242,129600
1995-01-27,7.000000,7.020833,6.958333,6.979167,2.561594,142200
1995-01-30,6.979167,6.979167,6.958333,6.979167,2.561594,403800
1995-01-31,6.958333,6.979167,6.958333,6.979167,2.561594,7200
1995-02-01,6.958333,7.000000,6.937500,6.979167,2.561594,84000
1995-02-02,7.083333,7.104167,7.083333,7.083333,2.599828,101400
1995-02-03,7.041667,7.041667,7.020833,7.020833,2.576888,70800
1995-02-06,6.895833,6.937500,6.895833,6.916667,2.538655,200400
1995-02-07,6.937500,6.937500,6.895833,6.895833,2.531009,35400
1995-02-08,6.916667,6.937500,6.916667,6.937500,2.546302,25800
1995-02-09,6.937500,6.937500,6.916667,6.916667,2.538655,165600
1995-02-10,6.937500,7.000000,6.937500,7.000000,2.569242,121800
1995-02-13,7.000000,7.000000,6.916667,6.916667,2.538655,36600
1995-02-14,6.916667,7.062500,6.895833,7.062500,2.592180,111600
1995-02-15,7.083333,7.104167,7.062500,7.104167,2.607474,98400
1995-02-16,7.041667,7.041667,7.000000,7.041667,2.584535,23400
1995-02-17,7.020833,7.041667,7.020833,7.041667,2.584535,93600
1995-02-21,7.000000,7.000000,6.958333,7.000000,2.569242,36000
1995-02-22,6.979167,6.979167,6.916667,6.916667,2.538655,54000
1995-02-23,6.937500,6.979167,6.937500,6.979167,2.561594,124800
1995-02-24,6.979167,7.041667,6.958333,7.041667,2.584535,182400
1995-02-27,6.875000,6.895833,6.875000,6.895833,2.531009,25800
1995-02-28,6.875000,6.895833,6.875000,6.895833,2.531009,12000
1995-03-01,6.937500,7.000000,6.937500,6.979167,2.561594,112800
1995-03-02,6.875000,7.000000,6.875000,7.000000,2.569242,7781400
1995-03-03,7.000000,7.104167,7.000000,7.083333,2.599828,3446400
1995-03-06,7.104167,7.104167,7.000000,7.000000,2.569242,2109600
1995-03-07,7.125000,7.125000,6.937500,6.979167,2.561594,2141400
1995-03-08,7.083333,7.145833,7.062500,7.083333,2.599828,2896200
1995-03-09,7.062500,7.083333,7.062500,7.083333,2.599828,38400
1995-03-10,6.916667,6.937500,6.875000,6.916667,2.538655,59400
1995-03-13,6.875000,6.875000,6.812500,6.875000,2.523362,33600
1995-03-14,6.916667,6.937500,6.916667,6.916667,2.538655,284400
1995-03-15,6.958333,7.020833,6.958333,7.020833,2.576888,318000
1995-03-16,7.041667,7.125000,7.041667,7.104167,2.607474,115200
1995-03-17,7.125000,7.145833,7.104167,7.145833,2.622767,40800
1995-03-20,7.145833,7.166667,7.125000,7.145833,2.622767,12171600
1995-03-21,7.145833,7.312500,7.145833,7.229167,2.653354,6264600
1995-03-22,7.250000,7.270833,7.250000,7.250000,2.661001,40200
1995-03-23,7.270833,7.270833,7.250000,7.250000,2.661001,47400
1995-03-24,7.062500,7.104167,7.062500,7.104167,2.672095,104400
1995-03-27,7.083333,7.125000,7.083333,7.104167,2.672095,28800
