Date,Open,High,Low,Close,Adj Close,Volume
1999-03-31,451.500000,517.500000,438.000000,497.250000,495.980774,1322933
1999-04-01,550.500000,552.000000,475.500000,483.000000,481.767151,483233
1999-04-05,501.000000,504.000000,435.000000,450.750000,449.599457,324917
1999-04-06,452.250000,484.125000,420.000000,474.000000,472.790100,353900
1999-04-07,480.750000,487.500000,442.500000,447.000000,445.859039,156617
1999-04-08,447.000000,450.750000,423.750000,435.000000,433.889648,147767
1999-04-09,432.000000,456.000000,406.500000,444.000000,442.866699,141933
1999-04-12,420.750000,475.500000,414.000000,459.375000,458.202454,182833
1999-04-13,472.500000,515.250000,463.500000,489.000000,487.751831,240033
1999-04-14,554.250000,595.500000,510.000000,558.750000,557.323792,627933
1999-04-15,564.000000,564.000000,459.000000,479.250000,478.026703,339117
1999-04-16,486.000000,510.000000,438.000000,488.250000,487.003723,176683
1999-04-19,490.500000,492.000000,348.000000,359.250000,358.333008,229150
1999-04-20,359.250000,414.000000,348.000000,405.750000,404.714325,264100
1999-04-21,429.000000,456.000000,405.750000,447.000000,445.859039,150483
1999-04-22,486.375000,490.500000,441.000000,458.250000,457.080322,145683
1999-04-23,516.375000,574.500000,492.000000,528.000000,526.652283,741767
1999-04-26,626.625000,728.625000,604.500000,724.500000,722.650696,1352367
1999-04-27,738.750000,840.000000,720.750000,778.125000,776.138855,1196750
1999-04-28,749.625000,806.625000,696.000000,726.000000,724.146851,448867
1999-04-29,690.375000,833.250000,690.000000,826.875000,824.764404,721900
1999-04-30,909.000000,990.000000,810.000000,974.250000,971.763245,845467
1999-05-03,914.625000,953.250000,833.250000,835.500000,833.367371,873317
1999-05-04,855.750000,900.000000,783.750000,804.000000,801.947754,692750
1999-05-05,847.125000,912.000000,720.750000,907.125000,904.809570,1264033
1999-05-06,888.000000,912.000000,827.250000,836.625000,834.489502,632083
1999-05-07,865.500000,865.875000,777.750000,783.937500,781.936462,569683
1999-05-10,768.000000,791.250000,726.000000,768.000000,766.039673,449167
1999-05-11,807.000000,808.500000,738.000000,738.000000,736.116272,286467
1999-05-12,736.500000,774.000000,732.000000,756.000000,754.070313,240517
1999-05-13,779.250000,792.000000,726.000000,729.000000,727.139221,187167
1999-05-14,720.000000,807.000000,714.000000,796.875000,794.840942,792600
1999-05-17,789.000000,793.875000,744.000000,790.500000,788.482239,341400
1999-05-18,787.500000,838.500000,766.125000,816.750000,814.665222,418517
1999-05-19,820.500000,865.500000,808.500000,855.000000,852.817627,226583
1999-05-20,869.625000,870.000000,786.750000,806.250000,804.192017,174400
1999-05-21,871.875000,874.500000,822.000000,833.625000,831.497192,553733
1999-05-24,829.500000,833.250000,726.750000,752.062500,750.142883,314600
1999-05-25,726.000000,776.250000,618.000000,624.000000,622.407227,540600
1999-05-26,651.000000,690.000000,582.000000,682.687500,680.944946,691100
1999-05-27,676.500000,702.000000,654.375000,664.875000,663.177917,273617
1999-05-28,642.000000,673.500000,636.000000,672.187500,670.471741,194833
1999-06-01,657.750000,663.000000,585.000000,596.625000,595.102112,353983
1999-06-02,577.500000,634.125000,534.750000,557.437500,556.014648,748050
1999-06-03,560.250000,575.250000,504.000000,504.750000,503.461609,448450
1999-06-04,507.000000,553.500000,500.250000,541.875000,540.491882,431817
1999-06-07,555.000000,657.000000,549.750000,609.000000,607.445496,738183
1999-06-08,629.250000,666.000000,609.750000,625.500000,623.903381,560267
1999-06-09,639.750000,653.250000,617.250000,630.000000,628.391907,224783
1999-06-10,604.125000,624.750000,600.000000,613.500000,611.934021,290533
1999-06-11,624.000000,637.500000,570.000000,574.125000,572.659546,268367
1999-06-14,564.000000,564.000000,459.000000,461.250000,460.072662,534317
1999-06-15,456.750000,505.875000,448.500000,470.625000,469.423737,544217
1999-06-16,510.000000,540.000000,502.500000,531.000000,529.644592,522133
1999-06-17,525.000000,570.000000,502.125000,533.625000,532.262939,439050
1999-06-18,548.250000,571.125000,546.000000,564.000000,562.560364,257800
1999-06-21,574.500000,655.500000,571.500000,637.875000,636.246826,484800
1999-06-22,654.375000,716.625000,634.500000,652.500000,650.834473,766100
1999-06-23,624.000000,683.625000,624.000000,665.250000,663.551941,435500
1999-06-24,649.500000,657.000000,612.000000,612.000000,610.437866,314117
1999-06-25,632.625000,644.250000,573.000000,574.500000,573.033569,380433
1999-06-28,594.000000,633.750000,552.000000,633.000000,631.384277,444450
1999-06-29,618.750000,666.000000,614.625000,645.000000,643.353638,384483
1999-06-30,637.500000,714.000000,625.500000,693.375000,691.605164,437417
1999-07-01,701.250000,710.250000,643.500000,645.000000,643.353638,329517
1999-07-02,654.000000,681.000000,654.000000,669.000000,667.292358,183617
1999-07-06,681.375000,703.125000,672.000000,672.000000,670.284729,314250
1999-07-07,678.000000,678.000000,639.000000,666.000000,664.300049,274083
1999-07-08,677.250000,697.500000,657.000000,664.125000,662.429810,294800
1999-07-09,672.375000,678.000000,650.250000,654.000000,652.330688,116600
1999-07-12,655.875000,660.000000,624.000000,629.062500,627.456787,143467
1999-07-13,604.875000,626.250000,600.000000,618.750000,617.170654,145050
1999-07-14,621.750000,636.000000,619.500000,625.500000,623.903381,103967
1999-07-15,626.250000,633.000000,600.000000,606.750000,605.201294,107133
1999-07-16,601.500000,609.000000,582.000000,584.437500,582.945740,160617
1999-07-19,633.000000,648.000000,585.000000,585.937500,584.441895,464333
1999-07-20,572.250000,576.000000,546.000000,549.375000,547.972717,278400
1999-07-21,550.875000,551.250000,519.000000,529.312500,527.961426,303617
1999-07-22,522.375000,528.000000,498.000000,501.375000,500.095245,228600
1999-07-23,501.750000,514.500000,480.375000,487.125000,485.881622,281617
1999-07-26,478.875000,495.750000,465.000000,469.125000,467.927551,268383
1999-07-27,484.500000,486.000000,440.625000,441.937500,440.809448,352817
1999-07-28,462.000000,513.000000,450.000000,510.000000,508.698212,578900
1999-07-29,486.750000,492.000000,465.000000,483.000000,481.767151,333083
1999-07-30,489.000000,490.500000,450.000000,453.375000,452.217743,208083
1999-08-02,451.875000,485.250000,438.000000,465.000000,463.813080,324467
1999-08-03,474.000000,477.000000,426.750000,438.375000,437.256042,302050
1999-08-04,435.000000,444.750000,396.000000,397.500000,396.485382,367850
1999-08-05,386.250000,478.500000,354.000000,468.750000,467.553497,801383
1999-08-06,460.500000,505.875000,440.250000,446.250000,445.110931,422067
1999-08-09,453.000000,461.625000,417.750000,420.000000,418.927948,222100
1999-08-10,410.250000,451.125000,396.000000,430.500000,429.401154,432800
1999-08-11,453.000000,457.500000,414.000000,420.000000,418.927948,410583
1999-08-12,408.750000,426.750000,401.625000,403.875000,402.844116,820100
1999-08-13,421.125000,423.750000,391.500000,399.000000,397.981537,321433
1999-08-16,401.250000,423.000000,400.500000,412.500000,411.447083,343200
1999-08-17,420.000000,433.500000,408.000000,420.375000,419.302002,333700
1999-08-18,432.750000,449.250000,420.750000,424.500000,423.416473,388700
1999-08-19,416.250000,423.000000,398.250000,399.000000,397.981537,332800
1999-08-20,402.000000,409.500000,393.750000,406.500000,405.462402,205217
1999-08-23,411.750000,430.500000,402.000000,402.375000,401.347931,272467
1999-08-24,401.250000,417.000000,394.500000,405.750000,404.714325,309367
1999-08-25,408.750000,418.125000,385.500000,391.125000,390.126648,336300
1999-08-26,412.500000,449.250000,411.000000,435.750000,434.637756,855783
1999-08-27,449.250000,456.000000,420.750000,441.000000,439.874329,395150
