Date,Open,High,Low,Close,Adj Close,Volume
1991-10-24,0.592593,0.592593,0.565158,0.570645,0.540026,43040616
1991-10-25,0.570645,0.587106,0.570645,0.587106,0.555604,4230478
1991-10-28,0.581619,0.631001,0.581619,0.631001,0.597144,5321700
1991-10-29,0.625514,0.636488,0.625514,0.631001,0.597144,5023266
1991-10-30,0.631001,0.658436,0.631001,0.647462,0.612722,5230575
1991-10-31,0.663923,0.663923,0.636488,0.636488,0.602337,2202947
1991-11-01,0.636488,0.647462,0.625514,0.631001,0.597144,1407881
1991-11-04,0.631001,0.641975,0.620027,0.620027,0.586759,1218797
1991-11-05,0.636488,0.636488,0.620027,0.631001,0.597144,774563
1991-11-06,0.625514,0.631001,0.620027,0.631001,0.597144,1510397
1991-11-07,0.631001,0.631001,0.620027,0.631001,0.597144,528525
1991-11-08,0.620027,0.631001,0.620027,0.620027,0.586759,642431
1991-11-11,0.620027,0.636488,0.620027,0.625514,0.591952,375891
1991-11-12,0.641975,0.641975,0.625514,0.636488,0.602337,1234744
1991-11-13,0.625514,0.636488,0.625514,0.631001,0.597144,107072
1991-11-14,0.641975,0.641975,0.625514,0.641975,0.607529,421453
1991-11-15,0.625514,0.647462,0.625514,0.625514,0.591952,441956
1991-11-18,0.625514,0.631001,0.609053,0.609053,0.576374,683438
1991-11-19,0.620027,0.620027,0.515775,0.543210,0.514064,1788328
1991-11-20,0.543210,0.587106,0.543210,0.576132,0.545219,911250
1991-11-21,0.592593,0.614540,0.576132,0.614540,0.581566,259706
1991-11-22,0.614540,0.620027,0.603567,0.603567,0.571182,316659
1991-11-25,0.603567,0.614540,0.592593,0.592593,0.560797,562697
1991-11-26,0.592593,0.592593,0.587106,0.592593,0.560797,116184
1991-11-27,0.587106,0.592593,0.576132,0.576132,0.545219,380447
1991-11-29,0.570645,0.592593,0.570645,0.570645,0.540026,29616
1991-12-02,0.592593,0.598080,0.576132,0.598080,0.565989,487519
1991-12-03,0.576132,0.576132,0.576132,0.576132,0.545219,4556
1991-12-04,0.592593,0.614540,0.576132,0.614540,0.581566,642431
1991-12-05,0.614540,0.614540,0.603567,0.603567,0.571182,50119
1991-12-06,0.592593,0.614540,0.592593,0.609053,0.576374,138966
1991-12-09,0.592593,0.614540,0.592593,0.598080,0.565989,66066
1991-12-10,0.603567,0.631001,0.603567,0.614540,0.581566,439678
1991-12-11,0.609053,0.631001,0.609053,0.614540,0.581566,576366
1991-12-12,0.614540,0.631001,0.614540,0.614540,0.581566,305269
1991-12-13,0.614540,0.625514,0.609053,0.625514,0.591952,334884
1991-12-16,0.625514,0.625514,0.609053,0.614540,0.581566,136688
1991-12-17,0.614540,0.631001,0.614540,0.620027,0.586759,446513
1991-12-18,0.620027,0.625514,0.614540,0.614540,0.581566,756338
1991-12-19,0.614540,0.614540,0.609053,0.614540,0.581566,243759
1991-12-20,0.631001,0.631001,0.609053,0.609053,0.576374,13669
1991-12-23,0.609053,0.631001,0.609053,0.614540,0.581566,517134
1991-12-24,0.614540,0.658436,0.614540,0.641975,0.607529,414619
1991-12-26,0.658436,0.658436,0.647462,0.658436,0.623107,232369
1991-12-27,0.658436,0.674897,0.652949,0.669410,0.633492,722166
1991-12-30,0.663923,0.702332,0.652949,0.702332,0.664648,551306
1991-12-31,0.729767,0.746228,0.718793,0.724280,0.685418,1043381
1992-01-02,0.724280,0.724280,0.696845,0.718793,0.680225,612816
1992-01-03,0.707819,0.724280,0.707819,0.724280,0.685418,34172
1992-01-06,0.718793,0.735254,0.718793,0.718793,0.680225,309825
1992-01-07,0.718793,0.762689,0.718793,0.746228,0.706188,1437497
1992-01-08,0.762689,0.762689,0.746228,0.746228,0.706188,189084
1992-01-09,0.768176,0.768176,0.746228,0.746228,0.706188,788231
1992-01-10,0.746228,0.751715,0.740741,0.740741,0.700996,205031
1992-01-13,0.746228,0.757202,0.729767,0.735254,0.695803,225534
1992-01-14,0.718793,0.740741,0.718793,0.740741,0.700996,72900
1992-01-15,0.718793,0.724280,0.713306,0.724280,0.685418,1186903
1992-01-16,0.713306,0.724280,0.685871,0.691358,0.654262,701663
1992-01-17,0.691358,0.691358,0.680384,0.680384,0.643877,113906
1992-01-20,0.669410,0.691358,0.669410,0.691358,0.654262,287044
1992-01-21,0.680384,0.691358,0.680384,0.680384,0.643877,166303
1992-01-22,0.691358,0.691358,0.691358,0.691358,0.654262,27338
1992-01-23,0.702332,0.713306,0.702332,0.713306,0.675033,637875
1992-01-24,0.718793,0.746228,0.702332,0.729767,0.690611,612816
1992-01-27,0.746228,0.746228,0.724280,0.724280,0.685418,97959
1992-01-28,0.718793,0.735254,0.718793,0.735254,0.695803,9113
1992-01-29,0.718793,0.718793,0.718793,0.718793,0.680225,43284
1992-01-30,0.718793,0.718793,0.718793,0.718793,0.680225,0
1992-01-31,0.718793,0.735254,0.718793,0.718793,0.680225,52397
1992-02-03,0.735254,0.740741,0.724280,0.724280,0.685418,246038
1992-02-04,0.751715,0.751715,0.740741,0.740741,0.700996,68344
1992-02-05,0.768176,0.779150,0.762689,0.779150,0.737344,236925
1992-02-06,0.768176,0.784636,0.768176,0.784636,0.742536,36450
1992-02-07,0.784636,0.795610,0.779150,0.779150,0.737344,624206
1992-02-10,0.762689,0.779150,0.740741,0.746228,0.706188,444234
1992-02-11,0.746228,0.746228,0.746228,0.746228,0.706188,0
1992-02-12,0.757202,0.757202,0.746228,0.746228,0.706188,150356
1992-02-13,0.762689,0.762689,0.746228,0.751715,0.711381,136688
1992-02-14,0.746228,0.762689,0.746228,0.762689,0.721766,18225
1992-02-18,0.746228,0.762689,0.746228,0.762689,0.721766,184528
1992-02-19,0.746228,0.751715,0.746228,0.751715,0.711381,109350
1992-02-20,0.746228,0.784636,0.746228,0.773663,0.732151,849741
1992-02-21,0.768176,0.784636,0.768176,0.773663,0.732151,410063
1992-02-24,0.768176,0.790123,0.768176,0.790123,0.747728,2278
1992-02-25,0.790123,0.790123,0.762689,0.779150,0.737344,150356
1992-02-26,0.762689,0.784636,0.762689,0.784636,0.742536,47841
1992-02-27,0.784636,0.790123,0.773663,0.773663,0.732151,494353
1992-02-28,0.773663,0.784636,0.768176,0.773663,0.732151,858853
1992-03-02,0.768176,0.768176,0.768176,0.768176,0.726959,13669
1992-03-03,0.773663,0.773663,0.773663,0.773663,0.732151,79734
1992-03-04,0.768176,0.768176,0.746228,0.746228,0.706188,387281
1992-03-05,0.757202,0.757202,0.713306,0.713306,0.675033,389559
1992-03-06,0.713306,0.735254,0.713306,0.718793,0.680225,261984
1992-03-09,0.713306,0.724280,0.713306,0.724280,0.685418,68344
1992-03-10,0.713306,0.735254,0.713306,0.724280,0.685418,164025
1992-03-11,0.713306,0.729767,0.713306,0.713306,0.675033,127575
1992-03-12,0.735254,0.735254,0.735254,0.735254,0.695803,159469
1992-03-13,0.729767,0.735254,0.724280,0.724280,0.685418,148078
1992-03-16,0.724280,0.746228,0.724280,0.746228,0.706188,129853
1992-03-17,0.757202,0.768176,0.746228,0.768176,0.726959,1246134
1992-03-18,0.757202,0.773663,0.757202,0.768176,0.726959,1227909
1992-03-19,0.757202,0.779150,0.757202,0.757202,0.716574,72900
1992-03-20,0.779150,0.779150,0.757202,0.757202,0.716574,22781
1992-03-23,0.757202,0.779150,0.757202,0.757202,0.716574,31894
1992-03-24,0.757202,0.779150,0.757202,0.779150,0.737344,127575
1992-03-25,0.768176,0.768176,0.768176,0.768176,0.726959,11391
1992-03-26,0.790123,0.790123,0.779150,0.779150,0.737344,72900
1992-03-27,0.779150,0.779150,0.757202,0.762689,0.721766,191363
1992-03-30,0.746228,0.768176,0.746228,0.762689,0.721766,109350
1992-03-31,0.768176,0.768176,0.746228,0.768176,0.726959,22781
1992-04-01,0.746228,0.746228,0.735254,0.746228,0.706188,54675
1992-04-02,0.746228,0.768176,0.746228,0.768176,0.726959,895303
1992-04-03,0.768176,0.768176,0.757202,0.768176,0.726959,15947
1992-04-06,0.768176,0.768176,0.757202,0.757202,0.716574,15947
1992-04-07,0.768176,0.812071,0.768176,0.790123,0.747728,234647
1992-04-08,0.779150,0.795610,0.779150,0.790123,0.747728,1161844
1992-04-09,0.790123,0.823045,0.790123,0.812071,0.768499,1207406
1992-04-10,0.823045,0.823045,0.801097,0.806584,0.763306,2111822
1992-04-13,0.823045,0.823045,0.801097,0.823045,0.778884,77456
1992-04-14,0.801097,0.823045,0.801097,0.801097,0.758113,1054772
1992-04-15,0.801097,0.823045,0.801097,0.823045,0.778884,585478
1992-04-16,0.823045,0.823045,0.801097,0.812071,0.768499,82013
1992-04-20,0.779150,0.779150,0.779150,0.779150,0.737344,36450
1992-04-21,0.801097,0.801097,0.801097,0.801097,0.758113,4556
1992-04-22,0.768176,0.790123,0.746228,0.757202,0.716574,1006931
1992-04-23,0.757202,0.779150,0.757202,0.773663,0.732151,601425
1992-04-24,0.779150,0.790123,0.779150,0.790123,0.747728,1451166
1992-04-27,0.768176,0.779150,0.768176,0.768176,0.726959,227813
1992-04-28,0.768176,0.779150,0.768176,0.779150,0.737344,628763
1992-04-29,0.779150,0.779150,0.757202,0.757202,0.716574,84291
1992-04-30,0.757202,0.779150,0.757202,0.779150,0.737344,255150
1992-05-01,0.779150,0.779150,0.779150,0.779150,0.737344,0
1992-05-04,0.768176,0.779150,0.768176,0.779150,0.737344,31894
1992-05-05,0.779150,0.779150,0.779150,0.779150,0.737344,2278
1992-05-06,0.779150,0.790123,0.779150,0.790123,0.747728,189084
1992-05-07,0.790123,0.790123,0.768176,0.768176,0.726959,9113
1992-05-08,0.768176,0.768176,0.768176,0.768176,0.726959,11391
1992-05-11,0.768176,0.773663,0.768176,0.768176,0.726959,243759
1992-05-12,0.790123,0.790123,0.768176,0.790123,0.747728,899859
1992-05-13,0.768176,0.768176,0.768176,0.768176,0.726959,134409
1992-05-14,0.779150,0.779150,0.768176,0.768176,0.726959,799622
1992-05-15,0.768176,0.779150,0.757202,0.762689,0.721766,403228
1992-05-18,0.757202,0.779150,0.757202,0.779150,0.737344,138966
1992-05-19,0.768176,0.768176,0.757202,0.757202,0.716574,359944
1992-05-20,0.757202,0.757202,0.757202,0.757202,0.716574,198197
1992-05-21,0.757202,0.757202,0.680384,0.696845,0.659455,3367069
1992-05-22,0.691358,0.713306,0.691358,0.713306,0.675033,41006
1992-05-26,0.713306,0.713306,0.713306,0.713306,0.675033,0
1992-05-27,0.702332,0.713306,0.691358,0.691358,0.654262,922641
1992-05-28,0.707819,0.707819,0.702332,0.702332,0.664648,382725
1992-05-29,0.713306,0.735254,0.702332,0.735254,0.695803,20503
1992-06-01,0.735254,0.735254,0.735254,0.735254,0.695803,0
1992-06-02,0.735254,0.735254,0.691358,0.707819,0.669840,1002375
1992-06-03,0.691358,0.713306,0.680384,0.685871,0.649070,218700
1992-06-04,0.680384,0.713306,0.680384,0.685871,0.649070,241481
1992-06-05,0.702332,0.702332,0.680384,0.680384,0.643877,318938
1992-06-08,0.680384,0.702332,0.680384,0.685871,0.649070,2027531
1992-06-09,0.685871,0.691358,0.685871,0.685871,0.649070,1558238
1992-06-10,0.685871,0.691358,0.685871,0.691358,0.654262,227813
1992-06-11,0.691358,0.691358,0.691358,0.691358,0.654262,0
1992-06-12,0.691358,0.691358,0.691358,0.691358,0.654262,0
1992-06-15,0.691358,0.691358,0.691358,0.691358,0.654262,0
1992-06-16,0.680384,0.680384,0.680384,0.680384,0.643877,9113
1992-06-17,0.702332,0.702332,0.680384,0.680384,0.643877,15947
1992-06-18,0.680384,0.680384,0.680384,0.680384,0.643877,0
1992-06-19,0.680384,0.702332,0.680384,0.691358,0.654262,473850
1992-06-22,0.669410,0.691358,0.603567,0.614540,0.581566,1109447
1992-06-23,0.625514,0.625514,0.625514,0.625514,0.591952,2278
1992-06-24,0.603567,0.620027,0.603567,0.620027,0.586759,428288
1992-06-25,0.620027,0.636488,0.603567,0.609053,0.576374,355388
