Date,Open,High,Low,Close,Adj Close,Volume
1992-02-13,2.000000,2.093750,2.000000,2.046875,1.655226,18506400
1992-02-14,2.062500,2.281250,2.062500,2.250000,1.819486,3128000
1992-02-18,2.218750,2.281250,2.062500,2.062500,1.667861,2584800
1992-02-19,2.093750,2.156250,2.031250,2.156250,1.743673,2454400
1992-02-20,2.125000,2.281250,2.125000,2.218750,1.794214,1304000
1992-02-21,2.218750,2.281250,2.218750,2.281250,1.844756,616800
1992-02-24,2.218750,2.312500,2.218750,2.312500,1.870026,772800
1992-02-25,2.265625,2.312500,2.250000,2.281250,1.844756,517600
1992-02-26,2.312500,2.343750,2.250000,2.343750,1.895297,851200
1992-02-27,2.281250,2.437500,2.281250,2.406250,1.945839,555200
1992-02-28,2.437500,2.593750,2.375000,2.531250,2.046921,1108800
1992-03-02,2.593750,2.609375,2.468750,2.562500,2.072191,873600
1992-03-03,2.546875,2.562500,2.437500,2.468750,1.996378,512000
1992-03-04,2.468750,2.531250,2.437500,2.437500,1.971108,163200
1992-03-05,2.531250,2.531250,2.343750,2.343750,1.895297,707200
1992-03-06,2.390625,2.437500,2.343750,2.343750,1.895297,765600
1992-03-09,2.343750,2.437500,2.343750,2.390625,1.933202,766400
1992-03-10,2.343750,2.437500,2.343750,2.437500,1.971108,93600
1992-03-11,2.500000,2.531250,2.437500,2.453125,1.983744,222400
1992-03-12,2.437500,2.531250,2.437500,2.437500,1.971108,89600
1992-03-13,2.437500,2.562500,2.437500,2.531250,2.046921,211200
1992-03-16,2.500000,2.562500,2.500000,2.562500,2.072191,94400
1992-03-17,2.468750,2.562500,2.468750,2.468750,1.996378,150400
1992-03-18,2.468750,2.468750,2.468750,2.468750,1.996378,52000
1992-03-19,2.562500,2.562500,2.437500,2.437500,1.971108,68800
1992-03-20,2.437500,2.531250,2.437500,2.531250,2.046921,124800
1992-03-23,2.437500,2.515625,2.437500,2.484375,2.009014,314400
1992-03-24,2.468750,2.515625,2.437500,2.437500,1.971108,437600
1992-03-25,2.531250,2.531250,2.437500,2.468750,1.996378,79200
1992-03-26,2.406250,2.421875,2.406250,2.406250,1.945839,47200
1992-03-27,2.500000,2.500000,2.437500,2.500000,2.021650,79200
1992-03-30,2.437500,2.500000,2.437500,2.468750,1.996378,46400
1992-03-31,2.437500,2.500000,2.437500,2.500000,2.021650,107200
1992-04-01,2.437500,2.500000,2.406250,2.437500,1.971108,356000
1992-04-02,2.500000,2.500000,2.437500,2.468750,1.996378,51200
1992-04-03,2.437500,2.500000,2.437500,2.468750,1.996378,116800
1992-04-06,2.437500,2.500000,2.437500,2.437500,1.971108,71200
1992-04-07,2.437500,2.562500,2.437500,2.500000,2.021650,116000
1992-04-08,2.437500,2.500000,2.437500,2.500000,2.021650,247200
1992-04-09,2.437500,2.531250,2.437500,2.468750,1.996378,36000
1992-04-10,2.468750,2.531250,2.468750,2.468750,1.996378,87200
1992-04-13,2.468750,2.531250,2.468750,2.468750,1.996378,16000
1992-04-14,2.531250,2.531250,2.468750,2.468750,1.996378,25600
1992-04-15,2.468750,2.500000,2.437500,2.437500,1.971108,84800
1992-04-16,2.468750,2.500000,2.437500,2.437500,1.971108,62400
1992-04-20,2.406250,2.406250,2.375000,2.375000,1.924515,59200
1992-04-21,2.375000,2.375000,2.375000,2.375000,1.924515,7200
1992-04-22,2.375000,2.468750,2.375000,2.468750,2.000482,7200
1992-04-23,2.375000,2.421875,2.375000,2.375000,1.924515,179200
1992-04-24,2.375000,2.437500,2.343750,2.406250,1.949838,252800
1992-04-27,2.343750,2.437500,2.343750,2.343750,1.899192,62400
1992-04-28,2.312500,2.343750,2.250000,2.250000,1.823225,99200
1992-04-29,2.343750,2.343750,2.250000,2.281250,1.848546,552000
1992-04-30,2.343750,2.343750,2.250000,2.250000,1.823225,128000
1992-05-01,2.312500,2.312500,2.312500,2.312500,1.873870,6400
1992-05-04,2.250000,2.312500,2.250000,2.312500,1.873870,38400
1992-05-05,2.250000,2.250000,2.203125,2.250000,1.823225,55200
1992-05-06,2.187500,2.250000,2.187500,2.187500,1.772579,461600
1992-05-07,2.187500,2.187500,2.125000,2.125000,1.721934,28800
