Date,Open,High,Low,Close,Adj Close,Volume
1997-04-15,3.666667,3.916667,3.416667,3.916667,3.916425,1785600
1997-04-16,3.916667,4.166667,3.583333,3.708333,3.708104,443700
1997-04-17,3.750000,4.083333,3.750000,3.833333,3.833096,252150
1997-04-18,3.833333,4.000000,3.833333,4.000000,3.999753,165900
1997-04-21,3.916667,4.000000,3.916667,4.000000,3.999753,77400
1997-04-22,4.000000,4.000000,3.916667,3.916667,3.916425,81600
1997-04-23,4.000000,4.500000,3.916667,4.500000,4.499722,180600
1997-04-24,4.500000,5.000000,4.416667,4.833333,4.833035,281550
1997-04-25,4.916667,4.916667,4.416667,4.500000,4.499722,114150
1997-04-28,4.500000,4.708333,4.333333,4.333333,4.333066,76650
1997-04-29,4.333333,4.916667,4.333333,4.916667,4.916363,122250
1997-04-30,4.750000,5.083333,4.750000,5.041667,5.041356,78450
1997-05-01,5.000000,5.166667,5.000000,5.125000,5.124683,33450
1997-05-02,5.000000,5.000000,4.666667,5.000000,4.999691,70200
1997-05-05,4.833333,5.000000,4.833333,4.833333,4.833035,12300
1997-05-06,4.833333,4.916667,4.833333,4.833333,4.833035,64650
1997-05-07,4.833333,4.916667,4.666667,4.916667,4.916363,37650
1997-05-08,4.750000,4.916667,4.750000,4.750000,4.749707,63600
1997-05-09,4.916667,4.916667,4.750000,4.833333,4.833035,35700
1997-05-12,4.916667,5.666667,4.833333,5.416667,5.416333,289800
1997-05-13,5.416667,5.666667,5.416667,5.666667,5.666317,24900
1997-05-14,5.666667,5.666667,5.500000,5.500000,5.499660,207750
1997-05-15,5.500000,5.500000,5.333333,5.333333,5.333004,75150
1997-05-16,5.333333,5.500000,5.000000,5.500000,5.499660,158250
1997-05-19,5.333333,5.500000,5.250000,5.416667,5.416333,60600
1997-05-20,5.416667,5.416667,5.250000,5.250000,5.249676,31950
1997-05-21,5.250000,5.333333,4.750000,5.166667,5.166348,146550
1997-05-22,5.166667,5.250000,5.166667,5.166667,5.166348,26850
1997-05-23,5.166667,5.250000,5.083333,5.125000,5.124683,42300
1997-05-27,5.250000,5.416667,5.000000,5.333333,5.333004,156600
1997-05-28,5.416667,5.416667,5.166667,5.333333,5.333004,36900
1997-05-29,5.333333,5.666667,5.250000,5.333333,5.333004,105300
1997-05-30,5.333333,5.333333,5.000000,5.250000,5.249676,127500
1997-06-02,5.291667,5.291667,5.250000,5.250000,5.249676,25950
1997-06-03,5.250000,5.583333,5.250000,5.500000,5.499660,184050
1997-06-04,5.416667,5.541667,5.333333,5.333333,5.333004,47400
1997-06-05,5.333333,5.500000,5.333333,5.458333,5.457996,48000
1997-06-06,5.500000,5.500000,5.333333,5.333333,5.333004,29850
1997-06-09,5.333333,5.500000,5.333333,5.333333,5.333004,23100
1997-06-10,5.333333,5.416667,5.333333,5.333333,5.333004,14850
1997-06-11,5.333333,5.416667,5.333333,5.416667,5.416333,5400
1997-06-12,5.333333,6.000000,5.333333,5.750000,5.749645,213150
1997-06-13,6.000000,6.000000,5.750000,5.750000,5.749645,55050
1997-06-16,5.750000,5.833333,5.750000,5.750000,5.749645,8250
1997-06-17,5.833333,5.833333,5.583333,5.666667,5.666317,83850
1997-06-18,5.666667,5.833333,5.500000,5.583333,5.582988,67500
1997-06-19,5.750000,5.750000,5.416667,5.500000,5.499660,67500
1997-06-20,5.416667,5.583333,5.416667,5.500000,5.499660,19200
1997-06-23,5.416667,5.500000,5.416667,5.416667,5.416333,61500
1997-06-24,5.416667,5.583333,5.416667,5.583333,5.582988,87900
1997-06-25,5.416667,5.416667,5.083333,5.333333,5.333004,44550
1997-06-26,5.333333,5.791667,5.333333,5.791667,5.791309,107250
1997-06-27,5.833333,5.833333,5.583333,5.708333,5.707981,35250
1997-06-30,5.666667,5.833333,5.583333,5.583333,5.582988,42300
1997-07-01,5.666667,5.750000,5.583333,5.583333,5.582988,29700
1997-07-02,5.583333,5.750000,5.333333,5.500000,5.499660,81300
1997-07-03,5.333333,5.500000,5.333333,5.333333,5.333004,11250
1997-07-07,5.416667,5.416667,5.333333,5.333333,5.333004,13200
1997-07-08,5.333333,5.750000,5.333333,5.625000,5.624653,144600
1997-07-09,5.625000,5.750000,5.500000,5.500000,5.499660,40500
1997-07-10,5.500000,5.666667,5.416667,5.500000,5.499660,32100
1997-07-11,5.500000,5.666667,5.333333,5.333333,5.333004,24450
1997-07-14,5.333333,5.500000,5.333333,5.500000,5.499660,17700
1997-07-15,5.500000,5.500000,5.166667,5.333333,5.333004,57450
1997-07-16,5.333333,5.416667,5.083333,5.083333,5.083019,67650
1997-07-17,5.083333,5.250000,5.083333,5.083333,5.083019,39450
1997-07-18,5.166667,5.375000,5.083333,5.166667,5.166348,83700
1997-07-21,5.166667,5.250000,5.083333,5.083333,5.083019,12750
1997-07-22,5.083333,5.375000,5.083333,5.375000,5.374668,179550
1997-07-23,5.250000,5.375000,5.250000,5.250000,5.249676,17250
1997-07-24,5.250000,5.333333,5.250000,5.250000,5.249676,34500
